ID,School,Prompt title,Proposed primary,Secondary 1,Secondary 2,Secondary 3,Your primary override,Your secondary 1,Your secondary 2,Your secondary 3,Review status,Your notes,Final primary,Final secondary 1,Final secondary 2,Final secondary 3,Why I categorized it this way,Full written prompt,Word limit,Original category,Existing note,Reuse group,Campus count / duplicates,Changed from original?
63,Amherst College,Option A: Curiosity,Other,Intellectual Curiosity,Values,,,,,,,,Other,Intellectual Curiosity,Values,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity, Values.","""Hope and curiosity — these are qualities that are the foundation of what Amherst College means, of everything that we do here. Curiosity is at the core of a liberal arts education — a spirit of inquiry that shapes not only what our students do in the classroom, but also how they learn from and about each other."" — Michael A. Elliott, 20th President of Amherst College, address at Amherst College’s 203rd Commencement. What does curiosity mean to you? How do you experience curiosity in your own life?",350w,Intellectual Curiosity,,RG-063,1,Yes
64,California Institute of Technology,Scientific Drive: Learning,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.","Regardless of your STEM interest listed above, take this opportunity to nerd out and talk to us about whatever STEM rabbit hole you have found yourself falling into. Be as specific or broad as you would like.",200w,Intellectual Curiosity,,RG-064,1,Yes
65,California Institute of Technology,Scientific Drive: Pursuing,Why Major,Intellectual Curiosity,Activities & Impact,,,,,,,,Why Major,Intellectual Curiosity,Activities & Impact,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity, Activities & Impact.","Tell us about a STEM question, problem, idea, or project that has held your attention over time. What drew you to it, how have you pursued it, and what do you still want to understand?",200w,Intellectual Curiosity,,RG-065,1,Yes
66,North Carolina State University,University Honors: curiosity in action,Other,Intellectual Curiosity,Activities & Impact,,,,,,,,Other,Intellectual Curiosity,Activities & Impact,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity, Activities & Impact.","Think about a time when your curiosity led you to not just learn, but to act. How did you learn more, and what tangible steps did you take as a result of what you learned? What insights about yourself, others, or the world did you take away from this process of learning and doing?",600w,Intellectual Curiosity,,RG-066,1,Yes
67,Dartmouth College,What excites you?,Other,Intellectual Curiosity,,,,,,,,,Other,Intellectual Curiosity,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity.,What excites you?,250w,Intellectual Curiosity,,RG-067,1,Yes
68,Washington and Lee University,Your curious mind,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.",Reveal to us how your curious mind works by sharing something you spend considerable time thinking or learning about.,250w,Intellectual Curiosity,,RG-068,1,Yes
69,Massachusetts Institute of Technology,Just for fun,Short Answer,,,,,,,,,,Short Answer,,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme.,What do you do just for fun?,50w,Short Answers,,RG-069,1,Yes
70,Stanford University,Last two summers,Short Answer,,,,,,,,,,Short Answer,,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme.,How did you spend your last two summers?,50w **[hand-classified]**,Short Answers,,RG-070,1,Yes
71,Texas A&M University,Life goals and objectives,Short Answer,Goals & Future,,,,,,,,,Short Answer,Goals & Future,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme. Secondary overlap: Goals & Future.,"In a few words, what are some of your life goals and objectives?",100w,Short Answers,,RG-071,1,Yes
72,Princeton University,More About You: soundtrack of your life,Short Answer,,,,,,,,,,Short Answer,,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme.,What song represents the soundtrack of your life at this moment?,50w,Short Answers,,RG-072,1,Yes
73,Princeton University,More About You: what brings you joy,Short Answer,,,,,,,,,,Short Answer,,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme.,What brings you joy?,50w,Short Answers,,RG-073,1,Yes
74,Stanford University,Note to your future roommate,Roommate,,,,,,,,,,Roommate,,,,"Explicitly asks what a future roommate should know, so it belongs in its own reusable category.",Virtually all of Stanford's undergraduates live on campus. Write a note to your future roommate that reveals something about you or that will help your roommate—and us—get to know you better.,250w,Short Answers,,RG-074,1,Yes
75,Harvard University,Top 3 things your roommates might like to know,Roommate,,,,,,,,,,Roommate,,,,"Explicitly asks what a future roommate should know, so it belongs in its own reusable category.",Top 3 things your roommates might like to know about you.,150w,Short Answers,,RG-075,1,Yes
76,Wake Forest University,Top Ten List,Short Answer,,,,,,,,,,Short Answer,,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme.,Give us your Top Ten List. (The choice of theme is yours.),no limit,Short Answers,,RG-076,1,Yes
77,Brown University,What brings you joy,Short Answer,Values,,,,,,,,,Short Answer,Values,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme. Secondary overlap: Values.,"Brown students care deeply about their work and the world around them. Students find contentment, satisfaction, and meaning in daily interactions and major discoveries. Whether big or small, mundane or spectacular, tell us about something that brings you joy.",150w,Short Answers,,RG-077,1,Yes
78,University of Texas at Austin,Academic circumstances,Challenge & Growth,Academic Context,,,,,,,,,Challenge & Growth,Academic Context,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it. Secondary overlap: Academic Context.",Please share background on events or special circumstances that you feel may have impacted your high school academic performance.,300w,Identity & Background,,RG-078,1,Yes
79,Harvard University,"Activities, employment, travel, or family responsibilities",Other,Activities & Impact,,,,,,,,,Other,Activities & Impact,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact.,"Briefly describe any of your extracurricular activities, employment experience, travel, or family responsibilities that have shaped who you are.",150w,Identity & Background,,RG-079,1,Yes
80,Stanford University,"An extracurricular, job, or responsibility",Other,Activities & Impact,,,,,,,,,Other,Activities & Impact,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact.,"Briefly elaborate on one of your extracurricular activities, a job you hold, or responsibilities you have for your family.",50w,Identity & Background,,RG-080,1,Yes
81,Oberlin College,BA+BFA: artistic influences,Other,Creativity,Intellectual Curiosity,,,,,,,,Other,Creativity,Intellectual Curiosity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Creativity, Intellectual Curiosity.","What artists, movements, cultural experiences, and/or personal experiences inspire your work?",250w,Identity & Background,,RG-081,1,Yes
82,Vanderbilt University,Dare to grow,Background & Identity,Challenge & Growth,Contribution,,,,,,,,Background & Identity,Challenge & Growth,Contribution,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Challenge & Growth, Contribution.","Vanderbilt University’s motto, Crescere aude, is Latin for “dare to grow.” In your response, reflect on how one or more aspects of your identity, culture, or background has played a role in your personal growth, and how it will contribute to our campus community as you dare to grow at Vanderbilt.",250w,Identity & Background,,RG-082,1,No
83,Dartmouth College,Embracing difference,Background & Identity,Values,,,,,,,,,Background & Identity,Values,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Values.","""It's not easy being green…"" was the frequent refrain of Kermit the Frog. How has difference been a part of your life, and how have you embraced it as part of your identity, outlook, or sense of purpose?",250w,Identity & Background,,RG-083,1,No
84,Boston College,Human-Centered Engineering and the Common Good,Why Major,Why Us,Contribution,,,,,,,,Why Major,Why Us,Contribution,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Contribution.","One goal of a Jesuit education is to prepare students to serve the Common Good. Human-Centered Engineering at Boston College integrates technical knowledge, creativity, and a humanistic perspective to address societal challenges and opportunities. What societal problems are important to you and how will you use your HCE education to solve them?",400w,Identity & Background,,RG-084,1,Yes
85,Washington and Lee University,Johnson Scholarship: authentic representation,Other,Background & Identity,Challenge & Growth,,,,,,,,Other,Background & Identity,Challenge & Growth,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Background & Identity, Challenge & Growth.",We live in a world in which much of our self-representation is curated online via short-lived social media ‘stories’ and disappearing photos. What photo or other representation of yourself is authentically you? What does it say about your growth into the person you are today and the person you want to become? Please use only the words in your essay to address this question. Do not include photographs or other materials in your answer.,800w **[hand-classified]**,Identity & Background,,RG-085,1,Yes
86,Washington and Lee University,Life outside school,Other,Activities & Impact,Contribution,,,,,,,,Other,Activities & Impact,Contribution,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact, Contribution.","Please describe an aspect of your life outside of school that is important to you, such as an extracurricular activity, a job, or a family responsibility. How has your involvement shaped your personal qualities and growth, and how has it impacted those around you?",250w,Identity & Background,,RG-086,1,Yes
87,Northwestern University,Painting The Rock,Other,Values,Contribution,,,,,,,,Other,Values,Contribution,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values, Contribution.","Painting “The Rock” is a tradition at Northwestern that invites all forms of expression—students promote campus events or extracurricular groups, support social or activist causes, show their Wildcat spirit (what we call “Purple Pride”), celebrate their culture, and more. What would you paint on The Rock, and why?",199w,Identity & Background,,RG-087,1,Yes
88,Georgetown University,Personal or creative essay,Personal Statement,,,,,,,,,,Personal Statement,,,,This is one of the rare prompts broad enough to function as a true personal statement.,"Please submit a brief personal or creative essay which you feel best describes you and reflects on your personal background and individual experiences, skills, and talents.",650w,Identity & Background,,RG-088,1,Yes
89,Rice University,Residential College perspectives,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.",The Residential College System is at the heart of Rice student life and is heavily influenced by the particular cultural traditions and unique life experiences each student brings. What life experiences and/or unique perspectives are you looking forward to sharing with fellow Owls in the residential college system?,500w,Identity & Background,,RG-089,1,No
90,Boston College,The danger of a single story,Background & Identity,Challenge & Growth,,,,,,,,,Background & Identity,Challenge & Growth,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Challenge & Growth.","In her July 2009 Ted Talk, ""The Danger of a Single Story,"" Chimamanda Ngozi Adichie warned viewers against assigning people a ""single story"" through assumptions about their nationality, appearance, or background. Discuss a time when someone defined you by a single story. What challenges did this present and how did you overcome them?",400w,Identity & Background,,RG-090,1,No
91,Washington and Lee University,The story of your name,Background & Identity,,,,,,,,,,Background & Identity,,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference.","On a residential college campus with a Speaking Tradition that encourages connections between individuals, using each other’s names matters. Please share the story of any name you go by and what significance it holds for you.",250w,Identity & Background,,RG-091,1,No
92,Princeton University,Your Voice: lived experience,Background & Identity,Disagreement,Contribution,,,,,,,,Background & Identity,Disagreement,Contribution,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement, Contribution.","Princeton values community and encourages students, faculty, staff and leadership to engage in respectful conversations that can expand their perspectives and challenge their ideas and beliefs. As a prospective member of this community, reflect on how your lived experiences will impact the conversations you will have in the classroom, the dining hall or other campus spaces. What lessons have you learned in life thus far? What will your classmates learn from you? In short, how has your lived experience shaped you?",500w,Identity & Background,,RG-092,1,No
93,Yale University,A topic or idea that excites you,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.",Tell us about a topic or idea that excites you and is related to one or more academic areas you selected above.,200w,Why Major,,RG-093,1,No
94,Rice University,Academic areas at Rice,Why Major,Why Us,,,,,,,,,Why Major,Why Us,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us.",Please explain what draws you to the academic areas you selected above and how you hope to explore them at Rice University.,150w,Why Major,,RG-094,1,No
95,Pomona College,Academic interest,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.","What draws you to the subject(s) you selected as potential major(s)? If undecided, share more about one of your academic passions or interests.",150w,Why Major,,RG-095,1,No
96,Princeton University,Academic interest (A.B. degree or undecided),Why Major,Intellectual Curiosity,Why Us,,,,,,,,Why Major,Intellectual Curiosity,Why Us,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity, Why Us.","As a research institution that also prides itself on its liberal arts curriculum, Princeton allows students to explore areas across the humanities and the arts, the natural sciences, and the social sciences. What academic areas most pique your curiosity, and how do the programs offered at Princeton suit your particular interests?",250w,Why Major,,RG-096,1,No
97,Princeton University,Academic interest (B.S.E. degree),Why Major,Why Us,Activities & Impact,,,,,,,,Why Major,Why Us,Activities & Impact,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Activities & Impact.","Please describe why you are interested in studying engineering at Princeton. Include any of your experiences in or exposure to engineering, and how you think the programs offered at the University suit your particular interests.",250w,Why Major,,RG-097,1,No
98,Yale University,Academic interests,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.","Students at Yale have time to explore their academic interests before committing to one or more major fields of study. Many students either modify their original academic direction or change their minds entirely. As of this moment, what academic areas seem to fit your interests or goals most comfortably? Please indicate up to three from the list provided.",200w,Why Major,,RG-098,1,No
99,University of Colorado Boulder,Academic interests at CU Boulder,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.","What do you hope to study, and why, at CU Boulder? Or if you don't know quite yet, think about your studies so far, extracurricular/after-school activities, jobs, volunteering, future goals or anything else that has shaped your interests.",250w,Why Major,,RG-099,1,No
100,Northwestern University,An interdisciplinary project,Other,Course,Intellectual Curiosity,Collaboration,,,,,,,Other,Course,Intellectual Curiosity,Collaboration,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Course, Intellectual Curiosity, Collaboration.","Northwestern fosters a distinctively interdisciplinary culture. We believe discovery and innovation thrive at the intersection of diverse ideas, perspectives, and academic interests. Within this setting, if you could dream up an undergraduate class, research project, or creative effort (a start-up, a design prototype, a performance, etc.), what would it be? Who might be some ideal classmates or collaborators?",199w,Why Major,,RG-100,1,Yes
101,Oberlin College,BA+BFA: integrated-arts vision,Why Major,Why Us,Creativity,,,,,,,,Why Major,Why Us,Creativity,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Creativity.",How do you envision the BA+BFA in Integrated Arts supporting the expansion and growth in your work? What is your vision for the work you hope to create in the coming years? What does “integrated arts” mean to you?,250w **[hand-classified]**,Why Major,,RG-101,1,No
102,Massachusetts Institute of Technology,Field of study that appeals to you,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.",What field of study appeals to you the most right now? (Note: Applicants select from a drop-down list.) Reflect on what has led to this interest.,200w,Why Major,,RG-102,1,No
103,University of Texas at Austin,First-choice major,Why Major,,,,,,,,,,Why Major,,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it.",Why are you interested in the major you indicated as your first-choice major?,300w,Why Major,,RG-103,1,No
104,University of Illinois Urbana-Champaign,First-choice major: goals after Illinois,Why Major,Goals & Future,,,,,,,,,Why Major,Goals & Future,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Goals & Future.",Describe your personal and/or career goals after graduating from Illinois and how your selected first-choice major will help you achieve them.,150w,Why Major,,RG-104,1,No
105,University of Illinois Urbana-Champaign,First-choice major: related experience,Why Major,Activities & Impact,,,,,,,,,Why Major,Activities & Impact,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Activities & Impact.","Explain, in detail, an experience you’ve had in the past 3 to 4 years related to your first- choice major. This can be an experience from an extracurricular activity, in a class you’ve taken, or through something else.",150w,Why Major,,RG-105,1,No
106,Massachusetts Institute of Technology,Generalist or specialist,Other,Intellectual Curiosity,Values,,,,,,,,Other,Intellectual Curiosity,Values,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity, Values.","MIT values both ""generalists"" with varied interests and ""specialists"" who focus deeply on one or a few passions. Which do you think best describes you, and why?",50w,Why Major,,RG-106,1,Yes
107,California Institute of Technology,Optional Academic Context,Other,Academic Context,,,,,,,,,Other,Academic Context,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Academic Context.,"Caltech cares about context. Is there anything about your academic preparation, coursework, school context, or learning experiences that would help us better understand your readiness for Caltech?",no limit,Why Major,,RG-107,1,Yes
108,Carnegie Mellon University,Passion behind your intended area of study,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.",Most students choose their intended major or area of study based on a passion or inspiration that’s developed over time — what passion or inspiration led you to choose this area of study?,300w,Why Major,,RG-108,1,No
109,University of California (systemwide),PIQ 6: An academic subject that inspires you,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.",Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom.,350w,Why Major,"One systemwide row replacing 7 identical campus entries: UC Berkeley, UC Los Angeles, UC Davis, UC Irvine, UC San Diego, UC Santa Barbara, UC Santa Cruz.",RG-109,7,No
110,Texas A&M University,Plans beyond a bachelor's degree,Other,Goals & Future,,,,,,,,,Other,Goals & Future,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Goals & Future.,Briefly describe any educational plans you have beyond earning your bachelor’s degree.,100w,Why Major,,RG-110,1,Yes
111,Brown University,PLME: What will make you a great doctor?,Other,Values,Goals & Future,,,,,,,,Other,Values,Goals & Future,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values, Goals & Future.","Tell us something about yourself, beyond your interest in medicine, that you think will make you a great doctor.",250w,Why Major,,RG-111,1,Yes
112,Brown University,PLME: Why medicine?,Why Major,,,,,,,,,,Why Major,,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it.",Why medicine?,250w,Why Major,,RG-112,1,No
113,Tufts University,Portfolio and academic inspiration,Why Major,Creativity,Intellectual Curiosity,,,,,,,,Why Major,Creativity,Intellectual Curiosity,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Creativity, Intellectual Curiosity.","Tell us more about a specific piece in your portfolio. How did an academic course, project, or interest inspire the ideas that you explored in this piece? Or, how did making this piece influence your academic interests?",200w,Why Major,,RG-113,1,No
114,California Institute of Technology,Required STEM Academic Interest,Why Major,Intellectual Curiosity,,,,,,,,,Why Major,Intellectual Curiosity,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity.","Why did you choose your proposed area of interest? If you selected 'other', what topics are you interested in pursuing?",200w,Why Major,,RG-114,1,No
115,Georgetown University,School-specific: College of Arts & Sciences,Why Major,Why Us,,,,,,,,,Why Major,Why Us,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us.","Describe your interest in integrated education and research across the natural sciences, humanities, social sciences, and fine arts. Applicants interested in the sciences, math, or languages should reference their specific intended major. (Summarized from Georgetown's official page - verify exact current wording before use.)",no limit,Why Major,,RG-115,1,No
116,University of Pennsylvania,School-specific: Engineering,Why Major,Why Us,,,,,,,,,Why Major,Why Us,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us.","Penn Engineering prepares its students to become leaders in technology by combining a strong foundation in the natural sciences and mathematics with depth of study in focused disciplinary majors. Describe how you plan to pursue your engineering interests at Penn, particularly within the intended major you selected.",200w,Why Major,,RG-116,1,No
117,Georgetown University,School-specific: School of Health,Why Major,Goals & Future,,,,,,,,,Why Major,Goals & Future,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Goals & Future.","Describe the factors influencing your interest in healthcare and specify your intended major (Global Health, Health Care Management & Policy, or Human Science). (Summarized from Georgetown's official page - verify exact current wording before use.)",no limit,Why Major,,RG-117,1,No
118,University of Illinois Urbana-Champaign,Second-choice major interest,Why Major,Goals & Future,,,,,,,,,Why Major,Goals & Future,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Goals & Future.",Please explain your interest in your second-choice major or your overall academic or career goals.,150w,Why Major,,RG-118,1,No
119,Oberlin College,TIMARA: artistic and academic goals,Why Major,Goals & Future,Creativity,,,,,,,,Why Major,Goals & Future,Creativity,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Goals & Future, Creativity.",What are your artistic and academic goals for the next four years?,1000w,Why Major,,RG-119,1,No
120,University of Illinois Urbana-Champaign,Undeclared: academic interests,Why Major,,,,,,,,,,Why Major,,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it.",What are your academic interests? Please include 2-3 majors you’re considering at Illinois and why.,150w,Why Major,,RG-120,1,No
121,University of Illinois Urbana-Champaign,Undeclared: future goals,Why Major,Goals & Future,,,,,,,,,Why Major,Goals & Future,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Goals & Future.",What are your future career or academic goals? You may include courses you took in high school and how these impacted your goals.,150w,Why Major,,RG-121,1,No
122,University of Pennsylvania,VIPER: Major combination,Why Major,Why Us,,,,,,,,,Why Major,Why Us,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us.",VIPER students pursue dual degrees in science or math and engineering. Which major combination(s) interest you most right now and why? Your response to this prompt is not binding; students often shift majors as they learn more through the program.,200w **[hand-classified]**,Why Major,,RG-122,1,No
123,Texas A&M University,Why your chosen major,Why Major,,,,,,,,,,Why Major,,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it.","In a few words, why have you chosen your academic major(s)?",100w,Why Major,,RG-123,1,No
124,North Carolina State University,Why your selected academic programs,Why Major,Why Us,,,,,,,,,Why Major,Why Us,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us.",Explain why you selected the academic program(s) above and why you are interested in studying these at NC State.,no limit,Why Major,,RG-124,1,No
125,Boston College,A meaningful tradition,Community,Values,,,,,,,,,Community,Values,,,"Centers a community, home environment, or tradition that shaped you—not merely what you will add to a future campus. Secondary overlap: Values.","Strong communities are sustained by traditions. Boston College's annual calendar is marked with both long-standing and newer traditions that help shape our community. Tell us about a meaningful tradition in your family or community. Why is it important to you, and how does it bring people together or strengthen the bonds of those who participate?",400w,Why Us,,RG-125,1,Yes
126,Brown University,Brown | RISD Dual Degree,Why Us,Why Major,Contribution,Creativity,,,,,,,Why Us,Why Major,Contribution,Creativity,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Why Major, Contribution, Creativity.","The Brown | RISD Dual Degree Program draws on the complementary strengths of Brown University and Rhode Island School of Design (RISD) to provide students with the opportunity to explore and engage with diverse spheres of academic and creative inquiry. Considering your understanding of the academic programs at Brown and RISD, describe how and why the specific blend of RISD's experimental, immersive art and design program and Brown's wide-ranging courses and curricula could constitute an optimal undergraduate education for you. Reflect on how you might integrate or synthesize content, approaches, and methods from these two distinct learning experiences. Additionally, how might you contribute to the Dual Degree community and its commitment to interdisciplinary work?",650w,Why Us,,RG-126,1,No
127,University of Rochester,"Combine curiosity, creativity, and Rochester opportunities",Why Us,Why Major,Intellectual Curiosity,,,,,,,,Why Us,Why Major,Intellectual Curiosity,,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Why Major, Intellectual Curiosity.",The University of Rochester is a place where curiosity and creativity meet. How will you combine our academic flexibility and co-curricular opportunities to create an experience that reflects your interests and ambitions?,250w,Why Us,,RG-127,1,No
128,Dartmouth College,Dartmouth fit,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.","As you seek admission to Dartmouth's Class of 2031, what aspects of the college's academic program, community, and/or campus environment attract your interest? How is Dartmouth a good fit for you?",100w,Why Us,,RG-128,1,No
129,Pitzer College,Engaging with a Pitzer core value,Other,Values,Contribution,Activities & Impact,,,,,,,Other,Values,Contribution,Activities & Impact,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values, Contribution, Activities & Impact.","At Pitzer, five core values distinguish our approach to education: social responsibility, intercultural understanding, interdisciplinary learning, student engagement, and environmental sustainability. As agents of change, our students utilize these values to create solutions to our world’s challenges. Reflecting on your involvement throughout high school or within the community, how have you engaged with one of Pitzer’s core values?",650w,Why Us,,RG-129,1,Yes
130,University of Pennsylvania,Huntsman: International studies and business,Why Major,Why Us,Contribution,,,,,,,,Why Major,Why Us,Contribution,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Contribution.","The Huntsman Program supports the development of globally-minded scholars who become engaged citizens, creative innovators, and ethical leaders in the public, private, and non-profit sectors in the United States and around the world. What draws you to a dual degree in international studies and business, and how would you use what you learn to address a global issue where these two domains intersect?",400w,Why Us,,RG-130,1,Yes
131,Tufts University,Learning about and engaging with Tufts,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.",Please describe how you have learned about and engaged with Tufts during your college search process.,150w,Why Us,,RG-131,1,No
132,University of Pennsylvania,LSM: Life sciences and management,Why Major,Why Us,Intellectual Curiosity,,,,,,,,Why Major,Why Us,Intellectual Curiosity,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Intellectual Curiosity.","The Vagelos Life Sciences & Management (LSM) program brings together two powerful modes of understanding—scientific inquiry and strategic thinking—to prepare students to engage thoughtfully and creatively with some of the most complex challenges of our time. What questions, problems, or opportunities would you hope to explore through LSM, and how might the integration of life sciences and management shape your approach to them? Focus on the ideas, values, or questions that draw you to this intersection, rather than how LSM might advance your career, and make sure this essay is distinct from your single-degree application.",400w,Why Us,,RG-132,1,Yes
133,Northwestern University,Northwestern's location,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.","Northwestern’s location is special: on the shore of Lake Michigan, steps from downtown Evanston, just a few miles from Chicago. What aspects of our location are most compelling to you, and why?",199w,Why Us,,RG-133,1,No
134,Claremont McKenna College,Open Academy and constructive dialogue,Background & Identity,Disagreement,,,,,,,,,Background & Identity,Disagreement,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement.","A critical part of fulfilling our mission is living out the commitments of CMC’s Open Academy: Freedom of Expression, Viewpoint Diversity, and Constructive Dialogue. We want to learn more about your commitment to listening and learning from others with different viewpoints, perspectives, and life experiences from your own. Describe a time when engaging with someone about a specific topic resulted in you changing your attitude, belief, or behavior, or you changed the belief or behavior of someone else. What was the change that occurred for you, and what facilitated that change? What did you learn from that experience, and how has it informed how you engage with others?",no limit,Why Us,,RG-134,1,Yes
135,Brown University,PLME: Why PLME?,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.",Why PLME?,250w,Why Us,,RG-135,1,No
