ID,School,External ref,Prompt title,Review status,Proposed primary,Proposed secondaries,Proposed function,Final primary,Final secondaries,Final function,Why,Word limit,Requirement,Shared with,Full written prompt
124,Georgetown University,school-essay-mcdonough,School-specific: McDonough School of Business,reviewed,Why Major,Values,explain-motivation,Why Major,Values,explain-motivation,carried over from the hand review,500w,conditional,,"Georgetown University’s McDonough School of Business provides graduates with essential global, ethical, analytical, financial, and diverse perspectives on the economies of our nation and the world. Describe your primary motivations for studying business at Georgetown University."
125,Georgetown University,school-essay-nursing,School-specific: Berkley School of Nursing,reviewed,Why Major,Values,explain-motivation,Why Major,Values,explain-motivation,carried over from the hand review,500w,conditional,,"Georgetown University’s Berkley School of Nursing is committed to the formation of ethical, empathetic, and transformational nursing leaders. Describe the factors that have influenced your interest in studying Nursing at Georgetown University."
126,Georgetown University,school-essay-sfs,School-specific: Walsh School of Foreign Service,reviewed,Why Major,Why Us; Service,explain-motivation,Why Major,Why Us; Service,explain-motivation,carried over from the hand review,500w,conditional,,Georgetown University’s Walsh School of Foreign Service was founded more than a century ago to prepare generations of leaders with the foundational skills to address global issues. Describe your primary motivations for studying international affairs at Georgetown University and dedicating your undergraduate studies toward a future in global service.
127,Georgetown University,short-essay-activity,Most significant activity,reviewed,Activities & Impact,Values,reflect,Activities & Impact,Values,reflect,"AUDIT: the significance of your most-involved activity. Had no secondaries at all; ""significance to you"" is a values ask and was going unrecorded.",250w,required,,Briefly discuss the significance to you of the school or summer activity in which you have been most involved.
128,Georgetown University,short-essay-differing-viewpoint,A differing viewpoint,reviewed,Background & Identity,Disagreement,demonstrate-growth,Background & Identity,Disagreement,demonstrate-growth,carried over from the hand review,250w,required,,"In all our lives, we interact with people who hold different viewpoints than our own. Describe such an event you experienced. What did you learn from the experience?"
129,Georgia Institute of Technology,submit-an-essay-focused-on-your-understanding-of-the,"Submit an essay focused on your understanding of the major, your career",reviewed,Why Major,Activities & Impact; Goals & Future,state-a-future-goal,Why Major,Goals & Future; Activities & Impact,state-a-future-goal,"Understanding of the major, career goals, and previous performance and technology experience.",(note) The source states no word or character limit.,conditional,,"Submit an essay focused on your understanding of the major, your career goals, and your previous experiences with both performance and music technology."
130,Grinnell College,grinnell-s-core-values-include-supporting-a-diverse,Grinnell’s core values include supporting a diverse community that is,reviewed,Background & Identity,Community; Why Us; Values; Service,discuss-future-contribution,Background & Identity,Community; Values; Service; Why Us,discuss-future-contribution,How your background and openness to other perspectives equip you to serve the common good at Grinnell.,200-450w,optional,,"Grinnell’s core values include supporting a diverse community that is respectful, egalitarian, and committed to the common good. How might your background, respect for the lived experiences of others, and/or eagerness to be exposed to new perspectives equip you to thrive at Grinnell and serve the common good?"
131,Hamilton College,we-each-bring-different-backgrounds-and-perspectives,"We each bring different backgrounds and perspectives, and we teach one",reviewed,Why Us,Background & Identity; Contribution,discuss-future-contribution,Why Us,Contribution; Background & Identity,discuss-future-contribution,How Hamilton will shape your perspective and how yours will shape Hamilton.,250w,optional,,"We each bring different backgrounds and perspectives, and we teach one another about the world through our individual and shared experiences. How will Hamilton shape your perspective, and how will your perspective shape Hamilton?"
132,Harvard University,short-answer-activities-shaped-you,"Activities, employment, travel, or family responsibilities",reviewed,Activities & Impact,Background & Identity; Values,describe,Activities & Impact,Background & Identity; Values,describe,"AUDIT: activities, employment, travel or family responsibilities that shaped who you are. Had no secondaries; ""shaped who you are"" and family responsibility are identity, and the prompt bridges both halves of this family.",150w,required,,"Briefly describe any of your extracurricular activities, employment experience, travel, or family responsibilities that have shaped who you are."
133,Harvard University,short-answer-disagreement,A strong disagreement,reviewed,Background & Identity,Disagreement,demonstrate-growth,Background & Identity,Disagreement,demonstrate-growth,carried over from the hand review,150w,required,,Describe a time when you strongly disagreed with someone about an idea or issue. How did you communicate or engage with this person? What did you learn from this experience?
134,Harvard University,short-answer-future-use,Using your Harvard education,reviewed,Other,Goals & Future; Contribution,state-a-future-goal,Other,Goals & Future; Contribution,state-a-future-goal,carried over from the hand review,150w,required,,How do you hope to use your Harvard education in the future?
135,Harvard University,short-answer-life-experiences,Life experiences and contribution to Harvard,reviewed,Background & Identity,Contribution,discuss-future-contribution,Background & Identity,Contribution,discuss-future-contribution,carried over from the hand review,150w,required,,Harvard has long recognized the importance of enrolling a student body with a diversity of perspectives and experiences. How will the life experiences that shaped who you are today enable you to contribute to Harvard?
136,Harvard University,short-answer-roommates,Top 3 things your roommates might like to know,reviewed,Roommate,,describe,Roommate,,describe,carried over from the hand review,150w,required,,Top 3 things your roommates might like to know about you.
137,Harvey Mudd College,asking-for-help,Asking for help,reviewed,Challenge & Growth,Collaboration,demonstrate-growth,Challenge & Growth,Collaboration,demonstrate-growth,carried over from the hand review,50-250w,required,,"No one succeeds alone, and at Harvey Mudd College, no one expects you to. In and out of the classroom, HMC students are encouraged to embrace challenges, collaborate with one another, and ask for support when they need it. Describe a time when asking for help made a difference in your work or wellbeing. What led you to reach out, and what did you take away from the experience?"
138,Harvey Mudd College,impact-problems-and-community,"Experiences, community, and problems to solve",reviewed,Other,Community; Values; Contribution,explain-motivation,Other,Community; Values; Contribution,explain-motivation,carried over from the hand review,150-500w,required,,"The problems that Harvey Mudd College students hope to tackle are shaped by their experiences, values, and communities. Through our intentionally interdisciplinary curriculum and our mission to develop “a clear understanding of the impact of their work,” Mudders develop the skills needed to address these complex challenges and contribute meaningfully to society. Share how an experience you’ve had or community you belong to has shaped the kinds of problems you want to solve and the impact you want to make."
139,Haverford College,community-values-and-honor-code,Community values and the Honor Code,reviewed,Why Us,Community; Values,connect-to-school,Why Us,Community; Values,connect-to-school,carried over from the hand review,150-200w,required,,"We have highlighted for you some of the values that shape the Haverford community. What are some of the values you seek in your next community? How do Haverford's values, as demonstrated through our Honor Code, resonate with you?"
140,Haverford College,intellectual-curiosity-at-haverford,Intellectual curiosity at Haverford,reviewed,Why Major,Why Us; Intellectual Curiosity,connect-to-school,Why Major,Why Us; Intellectual Curiosity,connect-to-school,carried over from the hand review,150-200w,required,,Tell us about a topic or issue that sparks your curiosity and gets you intellectually excited. How do you hope to engage with this topic or issue at Haverford?
141,Indiana University Bloomington,in-200-400-words-describe-your-academic-and-career,"In 200–400 words, describe your academic and career plans and any",reviewed,Why Major,Challenge & Growth; Why Us; Goals & Future,state-a-future-goal,Why Major,Goals & Future; Challenge & Growth; Why Us,state-a-future-goal,"Academic and career plans plus interests to pursue at IU, with optional obstacles overcome.",200-400w,required,,"In 200–400 words, describe your academic and career plans and any special interest (for example, undergraduate research, academic interests, leadership opportunities, etc.) that you are eager to pursue as an undergraduate at Indiana University. Also, if you encountered any unusual circumstances, challenges, or obstacles in pursuit of your education, you may share those experiences and how you overcame them."
142,Johns Hopkins University,engaging-across-differences,Engaging across differences and building bridges,reviewed,Background & Identity,Disagreement; Contribution,demonstrate-growth,Background & Identity,Disagreement; Contribution,demonstrate-growth,carried over from the hand review,200-350w,required,,"At Johns Hopkins, community is built through dialogue, collaboration, and a willingness to engage across differences. Whether on campus or in the broader world, community depends on bridge builders who can listen to differing perspectives, challenge their own assumptions, or work together toward shared goals. Drawing on your own experiences, what have you learned about engaging across differences and how has it shaped the way you think about building bridges, enhancing community, and working with others?"
143,Lehigh University,at-lehigh-we-believe-in-pausing-to-celebrate-the-good,"At Lehigh, we believe in pausing to celebrate the good—meaningful",reviewed,Other,Values,describe,Other,Values,describe,"Something great happening in your life right now - a bespoke celebration prompt, not a list.",200w,required,,"At Lehigh, we believe in pausing to celebrate the good—meaningful moments that bring joy, pride or motivation. What's something great happening in your life right now? It could be an accomplishment, a personal win (big or small) or something you're genuinely excited about. If it matters to you, we'd love to hear about it."
144,Lehigh University,how-did-you-first-learn-about-lehigh-university-and,How did you first learn about Lehigh University and what motivated you,reviewed,Why Us,,explain-motivation,Why Us,,explain-motivation,How you first heard of Lehigh and what motivated you to apply.,200w,required,,How did you first learn about Lehigh University and what motivated you to apply?
145,Massachusetts Institute of Technology,essay-field-of-study,Field of study that appeals to you,reviewed,Why Major,Intellectual Curiosity,explain-motivation,Why Major,Intellectual Curiosity,explain-motivation,carried over from the hand review,200w,required,,What field of study appeals to you the most right now? (Note: Applicants select from a drop-down list.) Reflect on what has led you to this interest.
146,Massachusetts Institute of Technology,essay-mit-impact,Problems you want to tackle at MIT,reviewed,Why Major,Why Us; Contribution,explain-motivation,Why Major,Why Us; Contribution,explain-motivation,carried over from the hand review,200w,required,,"Reflect on how your personal and academic experiences have influenced the types of problems you would want to tackle with an MIT education, and who you would like to work on those problems with."
147,Massachusetts Institute of Technology,essay-own-trail,Your own trail,reviewed,Challenge & Growth,Academic Context,describe,Challenge & Growth,Academic Context,describe,carried over from the hand review,200w,required,,"While some reach their goals following well-trodden paths, others blaze their own trails achieving the unexpected. In what ways have you done something different than what was expected in your educational journey?"
148,Massachusetts Institute of Technology,essay-unexpected-challenge,An unexpected challenge,reviewed,Challenge & Growth,,demonstrate-growth,Challenge & Growth,,demonstrate-growth,carried over from the hand review,200w,required,,How did you manage a situation or challenge that you didn't expect? What did you learn from it?
149,Massachusetts Institute of Technology,short-answer-admire,Someone you admire,reviewed,Other,Values,describe,Other,Values,describe,carried over from the hand review,50w,required,,"Who is someone you admire, whether you know them personally or look up to them from afar? Tell us why."
150,Massachusetts Institute of Technology,short-answer-fun,Just for fun,reviewed,Short Answer,,describe,Short Answer,,describe,carried over from the hand review,50w,required,,What do you do just for fun?
151,Massachusetts Institute of Technology,short-answer-generalist,Generalist or specialist,reviewed,Other,Intellectual Curiosity; Values,reflect,Other,Intellectual Curiosity; Values,reflect,carried over from the hand review,50w,required,,"MIT values both 'generalists' with varied interests and 'specialists' who focus deeply on one or a few passions. Which do you think best describes you, and why?"
152,Massachusetts Institute of Technology,short-answer-topic,A topic you could talk about for hours,reviewed,Other,Intellectual Curiosity,describe,Other,Intellectual Curiosity,describe,carried over from the hand review,50w,required,,"What's a topic, academic or non-academic, that you could talk about for hours?"
153,Michigan State University,for-roughly-70-years-the-honors-college-has-valued,"For roughly 70 years, the Honors College has valued academic",reviewed,Other,Academic Context; Intellectual Curiosity,describe,Other,Academic Context; Intellectual Curiosity,describe,An experience showing you approached high school in a unique way.,(note) The source states no word or character limit.,conditional,,"For roughly 70 years, the Honors College has valued academic flexibility and innovative approaches to learning. Please tell us about an experience that shows how you have approached your high school career in a unique way."
154,New York University,a-one-page-statement-of-purpose-describing-your-reasons,A one-page Statement of Purpose describing: your reasons for applying,reviewed,Why Major,Background & Identity; Creativity; Academic Context,explain-motivation,Why Major,Creativity; Background & Identity; Academic Context,explain-motivation,"A statement of purpose: why this studio art programme, your background in art, and your influences.",(note) The source states no word or character limit.,conditional,,"A one-page Statement of Purpose describing: your reasons for applying to an interdisciplinary studio art program; your personal and/or academic background in art; and the influences, experiences, common themes, and interests that have impacted your art practice."
155,New York University,bridge-builders,Bridge builders,reviewed,Background & Identity,Disagreement; Contribution,reflect,Background & Identity,Disagreement; Contribution,reflect,carried over from the hand review,250w,optional,,"We are looking for students who want to be bridge builders—students who can connect people, groups, and ideas to span divides, foster understanding, and promote collaboration within a dynamic, interconnected, and vibrant global academic community. We are eager for you to tell us how your experiences have helped you understand what qualities and efforts are needed to bridge divides so that people can better learn and work together. Please consider one or more of the following questions in your essay: - Tell us about a time you encountered a perspective different from your own. What did you learn—about yourself, the other person, or the world? - Tell us about an experience you've had working with others who have different perspectives. What role did you try to play in helping people to work together, and what did you learn from your efforts? - Tell us about someone you've observed who does a particularly good job helping people think or work together. How does this person set the stage for common exploration or work? What qualities do you admire in this person?"
156,New York University,in-under-250-words-please-share-how-you-have,"In under 250 words, please share how you have demonstrated your",reviewed,Community,Service; Contribution; Values,explain-impact,Community,Service; Contribution; Values,explain-impact,"How you have demonstrated commitment to Beloved Community through achievement, research or service.",250w,conditional,,"In under 250 words, please share how you have demonstrated your commitment to the legacy of Dr. King's ideals of 'Beloved Community' as evidenced through academic achievement, research or service."
157,North Carolina State University,discuss-one-project-in-your-portfolio-that-best,Discuss one project in your portfolio that best reflects your current,reviewed,Other,Creativity; Academic Context,describe,Other,Creativity; Academic Context,describe,Discuss one portfolio project and how its materials carry meaning - a work analysis.,(note) The source states no word or character limit.,conditional,,Discuss one project in your portfolio that best reflects your current understanding of design. Consider how the materials/media contribute to the meaning and function of the piece.
158,North Carolina State University,explain-why-you-selected-the-second-choice-academic,Explain why you selected the second choice academic program above and,reviewed,Why Major,Why Us,connect-to-school,Why Major,Why Us,connect-to-school,"AUDIT: identical to #166 except ""second choice"" for ""first choice"", so it must carry the same function. Was explain-motivation while #166 was connect-to-school.",250w,conditional,,Explain why you selected the second choice academic program above and why you are interested in studying this at NC State.
159,North Carolina State University,honors-curiosity-to-action,University Honors: curiosity in action,reviewed,Activities & Impact,Intellectual Curiosity,explain-impact,Activities & Impact,Intellectual Curiosity,explain-impact,carried over from the hand review,600w,conditional,1: North Carolina State University,"Think about a time when your curiosity led you to not just learn, but to act. How did you learn more, and what tangible steps did you take as a result of what you learned? What insights about yourself, others, or the world did you take away from this process of learning and doing?"
160,North Carolina State University,park-scholars-make-a-positive-difference-for-others,Park Scholars make a positive difference for others,reviewed,Community,Activities & Impact; Service; Contribution,explain-impact,Community,Service; Contribution; Activities & Impact,explain-impact,"Your civic contributions, why you engaged in that service, and the impact of your actions.",600w,conditional,,Park Scholars make a positive difference for others. What meaningful civic contributions have you made? Why did you engage in this service? What was the impact of your actions?
161,North Carolina State University,required-major-interest,Why your selected academic programs,reviewed,Why Major,Why Us,connect-to-school,Why Major,Why Us,connect-to-school,carried over from the hand review,250w,required,,Explain why you selected the first choice academic program above and why you are interested in studying this at NC State.
162,Northeastern University,a-separate-one-page-statement-describing-your-musical,A separate one-page statement describing your musical background,reviewed,Why Major,Background & Identity; Why Us; Goals & Future,explain-motivation,Why Major,Background & Identity; Goals & Future; Why Us,explain-motivation,"Musical background, influences and goals, and why this programme is right for you.",(note) The source states no word or character limit.,conditional,,"A separate one-page statement describing your musical background, influences, and goals as well as why you think the Music Technology program is right for you."
163,Northeastern University,in-your-journalism-portfolio-please-discuss-the,"In your Journalism portfolio, please discuss the possibilities you see",reviewed,Why Major,Goals & Future,state-a-future-goal,Why Major,Goals & Future,state-a-future-goal,The possibilities you see in journalism and how you would pursue them.,500w,conditional,,"In your Journalism portfolio, please discuss the possibilities you see in these fields and how you would pursue them."
164,Northeastern University,in-your-portfolio-personal-statement-please-describe,"In your portfolio personal statement, please describe what qualities",reviewed,Why Us,Contribution,discuss-future-contribution,Why Us,Contribution,discuss-future-contribution,What qualities you will bring to the department and your education there.,500w,conditional,,"In your portfolio personal statement, please describe what qualities you feel you will bring to the department and your college-level educational experience and why."
165,Northwestern University,optional-community-belonging,Community and belonging,reviewed,Why Us,Community,connect-to-school,Why Us,Community,connect-to-school,carried over from the hand review,200w,optional,,"Community and belonging matter at Northwestern. Tell us about one or more communities, networks, or student groups you see yourself connecting with on campus."
166,Northwestern University,optional-diverse-perspectives,Diverse perspectives,reviewed,Background & Identity,Contribution,discuss-future-contribution,Background & Identity,Contribution,discuss-future-contribution,carried over from the hand review,200w,optional,,"Northwestern is a place where people with diverse backgrounds from all over the world can study, live, and talk with one another. This range of experiences and viewpoints immeasurably enriches learning. How might your individual background contribute to this diversity of perspectives in Northwestern's classrooms and around our campus?"
167,Northwestern University,optional-interdisciplinary-project,An interdisciplinary project,reviewed,Other,Course; Intellectual Curiosity; Collaboration,discuss-future-contribution,Other,Course; Intellectual Curiosity; Collaboration,discuss-future-contribution,carried over from the hand review,200w,optional,,"Northwestern fosters a distinctively interdisciplinary culture. We believe discovery and innovation thrive at the intersection of diverse ideas, perspectives, and academic interests. Within this setting, if you could dream up an undergraduate class, research project, or creative effort (a start-up, a design prototype, a performance, etc.), what would it be? Who might be some ideal classmates or collaborators?"
168,Northwestern University,optional-location,Northwestern's location,reviewed,Why Us,,connect-to-school,Why Us,,connect-to-school,carried over from the hand review,200w,optional,,"Northwestern's location is special: on the shore of Lake Michigan, steps from downtown Evanston, just a few miles from Chicago. What aspects of our location are most compelling to you, and why?"
169,Northwestern University,optional-the-rock,Painting The Rock,reviewed,Other,Values; Contribution,connect-to-school,Other,Values; Contribution,connect-to-school,carried over from the hand review,200w,optional,,"Painting ‘The Rock’ is a tradition at Northwestern that invites all forms of expression—students promote campus events or extracurricular groups, support social or activist causes, show their Wildcat spirit (what we call ‘Purple Pride’), celebrate their culture, and more. What would you paint on The Rock, and why?"
170,Northwestern University,required-personal-context,Personal context and Northwestern,reviewed,Background & Identity,Why Us; Contribution,connect-to-school,Background & Identity,Why Us; Contribution,connect-to-school,carried over from the hand review,300w,required,,"We want to be sure we're considering your application in the context of your personal experiences: What aspects of your background (your identity, your school setting, your community, your household, etc.) have most shaped how you see yourself engaging in Northwestern's community, be it academically, extracurricularly, culturally, politically, socially, or otherwise?"
171,Oberlin College,composition-aspirations,Composition: aspirations,reviewed,Why Major,Why Us; Goals & Future,state-a-future-goal,Why Major,Why Us; Goals & Future,state-a-future-goal,carried over from the hand review,1000w,conditional,,"Tell us about your aspirations for your creative, academic and professional trajectories. Address such questions as: Why are you pursuing a degree in composition and what do you hope to achieve at Oberlin and beyond?"
172,Oberlin College,composition-development,Composition: development and influences,reviewed,Why Major,Intellectual Curiosity; Creativity,describe,Why Major,Intellectual Curiosity; Creativity,describe,carried over from the hand review,1000w,conditional,,"Tell us about your development as a composer so far. Include in your response a discussion of composers, specific works of music, and musical styles and genres that have inspired and influenced you."
173,Oberlin College,timara-goals,TIMARA: artistic and academic goals,reviewed,Why Major,Goals & Future; Creativity,state-a-future-goal,Why Major,Goals & Future; Creativity,state-a-future-goal,carried over from the hand review,1000w,conditional,,What are your artistic and academic goals for the next four years?
174,Ohio State University,if-you-could-devote-the-next-ten-years-to-addressing,If you could devote the next ten years to addressing one challenge,reviewed,Other,Community; Values; Service; Goals & Future,state-a-future-goal,Other,Community; Values; Service; Goals & Future,state-a-future-goal,"A hypothetical: one challenge you would devote ten years to, and why.",500w,conditional,,"If you could devote the next ten years to addressing one challenge facing your community, nation, or the world, what would it be and why?"
175,Ohio State University,in-what-ways-have-your-life-experiences-and-or,In what ways have your life experiences and/or endeavors prepared you,reviewed,Background & Identity,Community; Why Us; Service; Values,discuss-future-contribution,Background & Identity,Community; Service; Values; Why Us,discuss-future-contribution,How your life experiences prepared you to champion shared values and a culture of service.,350-500w,conditional,,"In what ways have your life experiences and/or endeavors prepared you to be an active Morrill Scholar who will champion OSU's Shared Values of 'diversity and innovation' and 'inclusion and equity' while investing in our culture of service reflective of our land grant mission? Please answer fully, and when possible, provide specific examples."
176,Pennsylvania State University,everyone-belongs-to-many-different-communities-and-or,"Everyone belongs to many different communities and/or groups, including",reviewed,Community,Background & Identity,reflect,Community,Background & Identity,reflect,One community you belong to and how it has influenced your life - filed as Duke's community prompt is.,200w,conditional,,"Everyone belongs to many different communities and/or groups, including shared geography, faith, ethnicity, income, cuisine, interest, race, or intellectual heritage. Choose one of the communities or groups to which you belong and describe how it has influenced your life over the last four years."
177,Pennsylvania State University,identify-an-important-global-or-local-issue-that-you,Identify an important global or local issue that you believe does not,reviewed,Other,Values; Intellectual Curiosity,reflect,Other,Values; Intellectual Curiosity,reflect,"An overlooked issue, a strategy to advance it, and an evaluation of your own proposal.",800w,conditional,,"Identify an important global or local issue that you believe does not receive sufficient attention. Why is this issue often overlooked or under-addressed? Analyze possible paths forward and propose a realistic strategy to raise awareness and advance solutions. Finally, evaluate your proposal's potential to create meaningful change, considering its feasibility, limitations, trade-offs, implementation challenges, and possible unintended consequences."
178,Pennsylvania State University,if-you-were-able-to-go-anywhere-in-the-world-outside-of,"If you were able to go anywhere in the world, outside of the country",reviewed,Other,Intellectual Curiosity,describe,Other,Intellectual Curiosity,describe,"Where in the world you would go, and why - a light hypothetical.",200w,conditional,,"If you were able to go anywhere in the world, outside of the country you currently reside in, where would you go and why?"
179,Pennsylvania State University,list-awards-or-other-recognitions-if-any-you-have,List awards or other recognitions (if any) you have received in or,reviewed,Short Answer,Activities & Impact,describe,Short Answer,Activities & Impact,describe,"A list of awards and recognitions, not an essay about them.",200w,conditional,,List awards or other recognitions (if any) you have received in or outside of school over the last four years.
180,Pennsylvania State University,list-your-extracurricular-activities-over-the-last-four,List your extracurricular activities over the last four years,reviewed,Short Answer,Activities & Impact; Leadership,describe,Short Answer,Activities & Impact; Leadership,describe,"A list of extracurricular activities. A list, deliberately not the activity essay.",200w,conditional,,List your extracurricular activities over the last four years. This can include school and non-school activities. Please include any leadership roles you have had.
181,Pennsylvania State University,one-of-the-schreyer-honors-college-values-is-empowered,One of the Schreyer Honors College values is Empowered Growth,reviewed,Other,Values,demonstrate-growth,Other,Values,demonstrate-growth,"Which values, beliefs or experiences empowered you to grow. No obstacle, so not Challenge & Growth.",200w,conditional,,"One of the Schreyer Honors College values is Empowered Growth. What values, beliefs or experiences have empowered you to grow intellectually and/or personally?"
182,Pennsylvania State University,please-use-this-space-to-share-information-you-would,Please use this space to share information you would like us to,reviewed,Personal Statement,,describe,Personal Statement,,describe,The additional-information box: anything not discussed elsewhere.,200w,optional,,Please use this space to share information you would like us to consider that has not been discussed elsewhere in your application (this is optional).
183,Pennsylvania State University,reflecting-on-the-recognitions-listed-above-which-one,"Reflecting on the recognitions listed above, which one stands out as",reviewed,Activities & Impact,Values,reflect,Activities & Impact,Values,reflect,"Which of your listed recognitions most affected your outlook, and why.",200w,conditional,,"Reflecting on the recognitions listed above, which one stands out as having an impact on your outlook and why?"
184,Pennsylvania State University,tell-us-about-a-book-or-other-media-that-has-made-you,Tell us about a book or other media that has made you think about,reviewed,Other,Intellectual Curiosity,demonstrate-growth,Other,Intellectual Curiosity,demonstrate-growth,A book or other media that made you think about something in a new way.,200w,conditional,,Tell us about a book or other media that has made you think about something in a new way.
185,Pennsylvania State University,tell-us-about-your-most-significant-leadership,Tell us about your most significant leadership experience and why,reviewed,Activities & Impact,Challenge & Growth; Leadership; Values,explain-impact,Activities & Impact,Leadership; Values; Challenge & Growth,explain-impact,"Your most significant leadership experience, why leadership matters to you, and its challenges and successes.",200w,conditional,,"Tell us about your most significant leadership experience and why leadership is important to you. This could include community roles, family contributions, research, clubs and organizations, etc. Describe challenges you've faced and successes you've had in these roles."
186,Pennsylvania State University,this-is-your-opportunity-to-share-something-about,This is your opportunity to share something about yourself that is not,reviewed,Personal Statement,Activities & Impact,describe,Personal Statement,Activities & Impact,describe,Anything not already in the application that shows you could succeed here.,500w,optional,,"This is your opportunity to share something about yourself that is not already reflected in your application or academic records. Please tell us something about yourself, your experiences, or activities that you believe would reflect positively on your ability to succeed at Penn State."
187,Pitzer College,as-a-mission-driven-institution-we-value-and-celebrate,"As a mission-driven institution, we value and celebrate the synergy",reviewed,Background & Identity,Community; Why Us; Contribution,discuss-future-contribution,Background & Identity,Community; Contribution; Why Us,discuss-future-contribution,"Distinctive aspects of your background you would bring to Pitzer, and how you would engage its community.",250w,optional,,"As a mission-driven institution, we value and celebrate the synergy created by our differences and similarities. We welcome you to write about distinctive aspects of your background, identity, or personal interests that you would bring to Pitzer, and how you plan to engage in our community."
188,Pitzer College,college-fit,Your college experience and Pitzer fit,reviewed,Why Us,Activities & Impact; Creativity,connect-to-school,Why Us,Activities & Impact; Creativity,connect-to-school,carried over from the hand review,650w,optional,,Describe what you are looking for from your college experience and why Pitzer would be a good fit for you.
189,Pitzer College,core-values,Engaging with a Pitzer core value,reviewed,Other,Activities & Impact; Why Us; Values; Contribution,explain-impact,Other,Activities & Impact; Values; Contribution; Why Us,explain-impact,"AUDIT: kept as Other - the central ask is engagement with one named college's core value, which is school-specific, but Why Us was missing from its secondaries.",650w,optional,,"Reflecting on your involvement throughout high school or within the community, how have you engaged with one of Pitzer's core values?"
190,Pomona College,academic-interest,Academic interest,reviewed,Why Major,Intellectual Curiosity,explain-motivation,Why Major,Intellectual Curiosity,explain-motivation,carried over from the hand review,150w,required,,"What draws you to the subject(s) you selected as potential major(s)? If undecided, share more about one of your academic passions or interests."
191,Pomona College,short-response-community-values,Community values and perspectives,reviewed,Community,Values; Contribution,discuss-future-contribution,Community,Values; Contribution,discuss-future-contribution,carried over from the hand review,250w,optional,,"Pomona is home to a diverse community of faculty, staff and students who, through close ties and collaboration, enable each other to identify and explore their greatest passions. Considering this, respond to one of the following: Reflecting on a community that you are a part of, what values or perspectives from that community would you bring to Pomona?"
192,Pomona College,short-response-how-others-see-you,How others would describe you,reviewed,Other,Background & Identity,describe,Other,Background & Identity,describe,carried over from the hand review,250w,optional,,"Pomona is home to a diverse community of faculty, staff and students who, through close ties and collaboration, enable each other to identify and explore their greatest passions. Considering this, respond to one of the following: Choose any person or group of people in your life and share how they would describe you."
193,Pomona College,short-response-outside-classroom,An experience outside the classroom,reviewed,Other,Challenge & Growth; Disagreement,demonstrate-growth,Other,Challenge & Growth; Disagreement,demonstrate-growth,carried over from the hand review,250w,optional,,"Pomona is home to a diverse community of faculty, staff and students who, through close ties and collaboration, enable each other to identify and explore their greatest passions. Considering this, respond to one of the following: Describe an experience you had outside the classroom that changed the way you think and/or how you engage with your peers. What was that experience and what did you learn from it?"
194,Princeton University,academic-interest-ab,Academic interest (A.B. degree or undecided),reviewed,Why Major,Why Us; Intellectual Curiosity,connect-to-school,Why Major,Why Us; Intellectual Curiosity,connect-to-school,carried over from the hand review,250w,conditional,,"As a research institution that also prides itself on its liberal arts curriculum, Princeton allows students to explore areas across the humanities and the arts, the natural sciences, and the social sciences. What academic areas most pique your curiosity, and how do the programs offered at Princeton suit your particular interests?"
195,Princeton University,academic-interest-bse,Academic interest (B.S.E. degree),reviewed,Why Major,Why Us; Activities & Impact,connect-to-school,Why Major,Why Us; Activities & Impact,connect-to-school,carried over from the hand review,250w,conditional,,"Please describe why you are interested in studying engineering at Princeton. Include any of your experiences in or exposure to engineering, and how you think the programs offered at the University suit your particular interests."
196,Princeton University,more-about-you-joy,More About You: what brings you joy,reviewed,Short Answer,,describe,Short Answer,,describe,carried over from the hand review,50w,required,,What brings you joy?
197,Princeton University,more-about-you-skill,More About You: a new skill,reviewed,Short Answer,Intellectual Curiosity,state-a-future-goal,Short Answer,Intellectual Curiosity,state-a-future-goal,carried over from the hand review,50w,required,,What is a new skill you would like to learn in college?
198,Princeton University,more-about-you-song,More About You: soundtrack of your life,reviewed,Short Answer,,describe,Short Answer,,describe,carried over from the hand review,50w,required,,What song represents the soundtrack of your life at this moment?
199,Princeton University,your-voice-1,Your Voice: lived experience,reviewed,Background & Identity,Disagreement; Contribution,discuss-future-contribution,Background & Identity,Disagreement; Contribution,discuss-future-contribution,carried over from the hand review,500w,required,,"Princeton values community and encourages students, faculty, staff and leadership to engage in respectful conversations that can expand their perspectives and challenge their ideas and beliefs. As a prospective member of this community, reflect on how your lived experiences will impact the conversations you will have in the classroom, the dining hall or other campus spaces. What lessons have you learned in life thus far? What will your classmates learn from you? In short, how has your lived experience shaped you?"
200,Princeton University,your-voice-2,Your Voice: service and civic engagement,reviewed,Community,Activities & Impact; Service; Contribution; Values,reflect,Community,Activities & Impact; Service; Contribution; Values,reflect,"AUDIT: service and civic engagement, and how your story meets them. Was Other, which earns no category credit - but service to society is what Community covers, and filing it Other is why it matched nothing.",250w,required,,Princeton has a longstanding commitment to understanding our responsibility to society through service and civic engagement. How does your own story intersect with these ideals?
201,Purdue University,briefly-discuss-your-reasons-for-choosing-your-major,Briefly discuss your reasons for choosing your major and your interest,reviewed,Why Major,Why Us,explain-motivation,Why Major,Why Us,explain-motivation,"Reasons for choosing your major, and for this campus location.",250w,required,,Briefly discuss your reasons for choosing your major and your interest in studying at this campus location (Indianapolis or West Lafayette).
