ID,School,External ref,Prompt title,Proposed primary,Secondary 1,Secondary 2,Secondary 3,Your primary override,Your secondary 1,Your secondary 2,Your secondary 3,Prompt function,Classifier confidence,Full written prompt,Word limit,Requirement,Scope
84,Cornell University,describe-your-interest-in-urban-and-regional-studies,Describe your interest in urban and regional studies,Why Major,Community,Personal Statement,Goals & Future,,,,,,40,"Describe your interest in urban and regional studies. Discuss experiences, ideas, or issues that have shaped your interest in cities, communities, and regional systems, and explain how URS at Cornell aligns with your academic and career goals.",650w,conditional,Urban and Regional Studies
85,Cornell University,at-the-college-of-arts-and-sciences-your-education-is,"At the College of Arts and Sciences, your education is yours to shape",,Intellectual Curiosity,Course,,,,,,,0,"At the College of Arts and Sciences, your education is yours to shape. Describe an intellectual passion, question, or idea that has captured your attention—whether it emerges from your studies or extends beyond your coursework. What specific aspects of our liberal arts curriculum would you draw on to explore and connect your varied interests?",650w,conditional,College of Arts & Sciences
86,Cornell University,fundamentally-engineering-is-the-application-of-math,"Fundamentally, engineering is the application of math, science, and",Why Major,,,,,,,,,50,"Fundamentally, engineering is the application of math, science, and technology to solve complex problems. Why do you want to study engineering?",200w,conditional,Cornell Duffield Engineering
87,Cornell University,why-do-you-think-you-would-love-to-study-at-duffield,Why do you think you would love to study at Duffield Engineering,Why Major,,,,,,,,,50,Why do you think you would love to study at Duffield Engineering?,200w,conditional,Cornell Duffield Engineering
88,Cornell University,what-brings-you-joy,What brings you joy,Short Answer,,,,,,,,,50,What brings you joy?,100w,conditional,Cornell Duffield Engineering
89,Cornell University,what-do-you-believe-you-will-contribute-to-the-duffield,What do you believe you will contribute to the Duffield Engineering,Community,Contribution,,,,,,,,50,What do you believe you will contribute to the Duffield Engineering community beyond what you've already detailed in your application? What unique voice will you bring?,100w,conditional,Cornell Duffield Engineering
90,Cornell University,what-is-one-activity-club-team-organization-work,"What is one activity, club, team, organization, work/volunteer",Activities & Impact,Community,Background & Identity,Personal Statement,,,,,,40,"What is one activity, club, team, organization, work/volunteer experience or family responsibility that is especially meaningful to you? Please briefly tell us about its significance for you.",100w,conditional,Cornell Duffield Engineering
91,Cornell University,what-is-one-award-you-have-received-or-achievement-you,What is one award you have received or achievement you have attained,,,,,,,,,,0,What is one award you have received or achievement you have attained that has meant the most to you? Please briefly describe its importance to you.,100w,conditional,Cornell Duffield Engineering
92,Cornell University,the-college-of-human-ecology-prepares-students-to,The College of Human Ecology prepares students to respond to human,Activities & Impact,Community,Personal Statement,Leadership,,,,,,57,"The College of Human Ecology prepares students to respond to human needs through an education organized around the interconnected issues that profoundly affect individuals, communities, and the institutions that shape our lives. Think about an extracurricular/community engagement/work experience that most closely connects you to the CHE mission and your intended choice of major. Tell us what that experience taught you about your broader community and its needs, and the impact you can make. How will your intended CHE major help you make that impact?",550w,conditional,College of Human Ecology
93,Cornell University,discuss-your-interest-in-pursuing-a-major-in-policy-at,Discuss your interest in pursuing a major in policy at the Cornell Jeb E,Why Us,Why Major,Activities & Impact,Personal Statement,,,,,,40,"Discuss your interest in pursuing a major in policy at the Cornell Jeb E. Brooks School of Public Policy and what draws you to this field of study. You are encouraged to consider including details related to your personal experiences, values, academic influences, or extracurricular activities that have shaped your perspective and future goals.",650w,conditional,Cornell Jeb E. Brooks School of Public Policy
94,Cornell University,please-describe-why-you-are-interested-in-being,Please describe why you are interested in being considered for the,,,,,,,,,,0,Please describe why you are interested in being considered for the Brooks School DC Start program.,350w,conditional,Brooks School DC Start
95,Cornell University,what-kind-of-business-student-are-you,What kind of business student are you,Community,Personal Statement,Service,,,,,,,40,"What kind of business student are you? Using your personal, academic, or volunteer/work experiences, describe the topics or issues that you care about and why they are important to you. Your response should convey how your interests align with the school to which you are applying within the Cornell SC Johnson College of Business (the Dyson School or the Nolan School).",650w,conditional,Charles H. Dyson School of Applied Economics and Management or Cornell Peter and Stephanie Nolan School of Hotel Administration
96,Cornell University,using-your-personal-academic-or-volunteer-work,"Using your personal, academic, or volunteer/work experiences, describe",Community,Personal Statement,Service,,,,,,,40,"Using your personal, academic, or volunteer/work experiences, describe the topics or issues that you care about and why they are important to you. Your response should show us that your interests align with the ILR School.",650w,conditional,School of Industrial and Labor Relations
97,Cornell University,add-your-own-written-notations-to-the-storyboard-about,Add your own written notations to the storyboard about how the,,Creativity,,,,,,,,0,"Add your own written notations to the storyboard about how the AI-generated design differs from your original design and AI’s impact on your design, for better or worse.",The source states no word or character limit.,conditional,Design + Environmental Analysis
98,Cornell University,for-each-image-example-provide-a-title-and-a-short,"For each image/example, provide a title and a short description that",,,,,,,,,,0,"For each image/example, provide a title and a short description that includes a reflective statement about the outcome or process.",The source states no word or character limit.,conditional,Design + Environmental Analysis
99,Cornell University,include-a-brief-description-with-each-item-including,"Include a brief description with each item, including title",,Creativity,,,,,,,,0,"Include a brief description with each item, including title, inspiration and design intention, materials, techniques, date of completion and originality (for example, “original design using commercially available pattern”).",The source states no word or character limit.,conditional,Fashion Design
100,Cornell University,describe-one-garment-accessory-textile-image-or-object,"Describe one garment, accessory, textile, image, or object that changed",,Creativity,,,,,,,,0,"Describe one garment, accessory, textile, image, or object that changed the way you think about fashion or design. What did you notice about its form, material, construction, proportion, movement, or meaning? BE specific about what you saw and why it stayed with you.",150w,conditional,Fashion Design
101,Cornell University,tell-us-about-something-you-have-made-altered-repaired,"Tell us about something you have made, altered, repaired, styled",,Creativity,,,,,,,,0,"Tell us about something you have made, altered, repaired, styled, drawn, or imagined. What choices did you make, what constraint di you face, and what would you change if you returned to it now? Formal training is not require; we are interested in your process and how you think.",150w,conditional,Fashion Design
102,Cornell University,fashion-design-involves-translating-ideas-into-material,Fashion design involves translating ideas into material form for real,,Creativity,,,,,,,,0,"Fashion design involves translating ideas into material form for real bodies, lives, and contexts, but it can fall short of those goals. Tell us about one critique of fashion that you hope to explore through fashion design, and why does it matter to you?",150w,conditional,Fashion Design
103,Cornell University,describe-a-fashion-brand-retailer-product-campaign,"Describe a fashion brand, retailer, product, campaign, resale platform",Background & Identity,Personal Statement,Values,,,,,,,57,"Describe a fashion brand, retailer, product, campaign, resale platform, event, or consumer behavior that has made you think differently about the fashion industry. What did you notice, and what larger question did it raise for you about value, identity, labor, sustainability, technology, culture, or markets?",150w,conditional,Fashion Design Management
104,Cornell University,tell-us-about-a-time-you-had-to-make-a-decision,Tell us about a time you had to make a decision involving competing,,Creativity,,,,,,,,0,"Tell us about a time you had to make a decision involving competing priorities. In the fashion industry, for example, those in the management field are constantly navigating decisions balancing aesthetics and cost, speed and quality, profit and ethics, individual taste and group needs, or creativity and practicality. Your example does not have to relate to fashion because we want to know about your process and how your mind thinks. What did you decide, and what did you learn?",150w,conditional,Fashion Design Management
105,Cornell University,fashion-design-management-sits-at-the-intersection-of,"Fashion Design Management sits at the intersection of design, business",Background & Identity,Creativity,,,,,,,,50,"Fashion Design Management sits at the intersection of design, business, culture, and systems. What part of that intersection most interests you right now, and what kind of problem would you like to learn how to address?",150w,conditional,Fashion Design Management
106,Emory University,what-academic-areas-are-you-interested-in-exploring-at,What academic areas are you interested in exploring at Emory University,Why Major,,,,,,,,,50,What academic areas are you interested in exploring at Emory University and why?,200w,required,
107,Emory University,emory-university-has-a-strong-commitment-to-building,Emory University has a strong commitment to building community,Community,Personal Statement,,,,,,,,40,Emory University has a strong commitment to building community. Tell us about a community that you have been part of where your personal participation helped to change or shape the community for the better.,150w,optional,emory-short-answer
108,Emory University,reflect-on-a-personal-experience-where-you,Reflect on a personal experience where you intentionally expanded your,Background & Identity,Personal Statement,,,,,,,,33,Reflect on a personal experience where you intentionally expanded your cultural awareness.,150w,optional,emory-short-answer
109,Emory University,emory-university-s-unique-mission-calls-for-service-to,Emory University’s unique mission calls for service to humanity,Community,Contribution,Service,,,,,,,50,Emory University’s unique mission calls for service to humanity. Share how you might personally contribute to this mission of service to humanity.,150w,optional,emory-short-answer
110,Emory University,in-a-scholarly-community-differing-ideas-often-collide,"In a scholarly community, differing ideas often collide before they",Community,Personal Statement,Values,Disagreement,,,,,,40,"In a scholarly community, differing ideas often collide before they converge. How do you personally navigate disagreement in a way that promotes progress and deepens meaningful dialogue?",150w,optional,emory-short-answer
111,University of Florida,please-provide-more-details-on-your-most-meaningful,Please provide more details on your most meaningful commitment outside,Activities & Impact,Community,Background & Identity,Personal Statement,,,,,,57,"Please provide more details on your most meaningful commitment outside of the classroom while in high school and explain why it was meaningful. This could be related to an extracurricular activity, work, volunteering, an academic activity, family responsibility, or any other non-classroom activity.",250w,required,
112,University of Florida,do-you-have-any-employment-or-family-obligations-that,Do you have any employment or family obligations that limit your,Activities & Impact,Background & Identity,Personal Statement,,,,,,,67,"Do you have any employment or family obligations that limit your participation in extracurricular activities? If so, please describe.",250w,optional,
113,University of Florida,have-you-participated-in-or-been-assisted-in-your,Have you participated in or been assisted in your college preparation,,,,,,,,,,0,"Have you participated in or been assisted in your college preparation and search by programs outside of the classroom, such as Educational Talent Search, Take Stock in Children, Upward Bound, Boys and Girls Club, etc.? If so, please provide the name of the program, details/benefits of your involvement, and how long your experiences continued.",250w,optional,
114,University of Florida,is-there-any-additional-information-or-extenuating,Is there any additional information or extenuating circumstances the,,,,,,,,,,0,"Is there any additional information or extenuating circumstances the Admissions Committee should know when reviewing your application? If so, please provide more information in less than 250 words.",250w,optional,
115,University of Florida,the-uf-honors-program-s-mission-is-to-connect-nurture,"The UF Honors Program’s mission is to connect, nurture and engage the",,Contribution,Goals & Future,,,,,,,0,"The UF Honors Program’s mission is to connect, nurture and engage the next generation of scholars who change the world. How do you envision yourself contributing to this mission? Consider the people, experiences, resources, and aspirations that have shaped your journey thus far and your future plans.",400w,conditional,UF Honors Program
116,University of Florida,discuss-why-you-are-interested-in-becoming-a-uf,Discuss why you are interested in becoming a UF Innovation Academy,,,,,,,,,,0,Discuss why you are interested in becoming a UF Innovation Academy student and how it will influence your professional career path.,300w,conditional,Innovation Academy
117,University of Florida,a-written-statement-250-500-words-detailing-an,A written statement (250-500 words) detailing an initiative outside of,Activities & Impact,Community,Personal Statement,Service,,,,,,29,"A written statement (250-500 words) detailing an initiative outside of classroom instruction, such as: - Leadership roles - Student organizations - Community service - Volunteer activities - Event organization - Entrepreneurial initiatives - Professional work experiences",500w,conditional,BS Music Business & Entrepreneurship
118,University of Florida,a-written-statement-250-500-words-describing-career,A written statement (250-500 words) describing: - Career aspirations -,,Goals & Future,,,,,,,,0,A written statement (250-500 words) describing: - Career aspirations - Reasons for pursuing Music Business & Entrepreneurship - Professional interests - Why the applicant believes the University of Florida is an appropriate fit,500w,conditional,BS Music Business & Entrepreneurship
119,Florida State University,many-fsu-honors-students-pursue-double-majors-often-in,Many FSU Honors students pursue double majors — often in completely,,Contribution,Creativity,Course,,,,,,0,"Many FSU Honors students pursue double majors — often in completely different fields — to enrich their academic experience. If you could choose two majors offered at FSU from different departments, what would they be and why? Design an Honors Signature Course that explores a topic or issue at the intersection of these two majors. Name the course and provide a brief (2–3 sentence) description for the website. Describe in detail what is important for you that students gain from the class and suggest a campus resource, faculty member or organization to enhance their learning experience.",350w,conditional,Honors Program or Presidential Scholars Program
120,Florida State University,your-personal-statement-is-a-500-1000-word-essay,Your Personal Statement is a 500-1000 word essay describing who you are,Background & Identity,Personal Statement,,,,,,,,29,"Your Personal Statement is a 500-1000 word essay describing who you are as an individual and why you want to be a filmmaker. This statement should concentrate on how your background has influenced your storytelling and filmmaking development, as well as your desire and commitment to enter the College of Motion Picture Arts. Use this statement as an opportunity to demonstrate your unique voice and personality in addition to your passion for filmmaking.",1000w,conditional,BFA Production or BFA Animation and Digital Arts
121,Florida State University,someone-sees-a-spider-in-their-home-and-tries-to-kill,Someone sees a spider in their home and tries to kill it at any cost,,,,,,,,,,0,Someone sees a spider in their home and tries to kill it at any cost.,The source states no word or character limit.,optional,fsu-film-screenplay
122,Florida State University,when-burglars-break-into-her-home-a-young-girl-tries-to,"When burglars break into her home, a young girl tries to sneak out of",,,,,,,,,,0,"When burglars break into her home, a young girl tries to sneak out of the house without being seen.",The source states no word or character limit.,optional,fsu-film-screenplay
123,Florida State University,a-starving-puppy-tries-to-steal-food-from-the-kitchen,A starving puppy tries to steal food from the kitchen of a five-star,,,,,,,,,,0,A starving puppy tries to steal food from the kitchen of a five-star restaurant.,The source states no word or character limit.,optional,fsu-film-screenplay
124,Florida State University,acting-future-career-goals-a-short-statement-describing,Acting Future/Career Goals: A short statement describing your,Why Major,Goals & Future,,,,,,,,50,Acting Future/Career Goals: A short statement describing your professional goals and your desire to major in Acting,650w,conditional,BFA Acting
125,Florida State University,music-theatre-future-career-goals-a-short-statement,Music Theatre Future/Career Goals: A short statement describing your,Why Major,Goals & Future,,,,,,,,50,Music Theatre Future/Career Goals: A short statement describing your professional goals and your desire to major in Music Theatre,650w,conditional,BFA Music Theatre
126,Florida State University,a-brief-personal-statement-650-words-or-less-outlining,"A brief personal statement, 650 words or less, outlining the applicants",Why Major,Personal Statement,Goals & Future,,,,,,,40,"A brief personal statement, 650 words or less, outlining the applicants career goals and how the FSU BFA Stage Management program will help the applicant reach these objectives",650w,conditional,BFA Stage Management
127,Florida State University,tell-us-about-your-art-making-by-and-refer-to-works-you,Tell us about your art-making by and refer to works you are presenting,Activities & Impact,Personal Statement,Contribution,Creativity,,,,,,33,"Tell us about your art-making by and refer to works you are presenting in your portfolio. Describe how these works represent your interests (i.e. subjects, ideas, experiences etc.). Include information about what inspires you. Share why you are interested in utilizing certain materials. How have other activities or experiences contributed to the making of your work? Have you been exhibiting your work? You are applying to a studio arts environment; please describe how you imagine this environment will impact your practice.",500w,conditional,Studio Art BFA
128,Florida State University,a-statement-of-career-goals-and-specifically-highlight,A statement of career goals and specifically highlight dance training,Why Major,Personal Statement,Goals & Future,,,,,,,40,A statement of career goals and specifically highlight dance training and experience.,The source states no word or character limit.,conditional,BFA Dance
129,George Washington University,at-the-george-washington-university-our-students,"At the George Washington University, our students frequently interact",Community,Personal Statement,Leadership,Course,,,,,,40,"At the George Washington University, our students frequently interact with policymakers and world leaders. These experiences and those of our alumni can shape the future of global affairs. If you had the power to change the course of history in your community or the world, what would you do and why?",500w,optional,
130,George Washington University,the-george-washington-university-encourages-students-to,The George Washington University encourages students to think,Why Us,Community,Personal Statement,Values,,,,,,40,"The George Washington University encourages students to think critically and to challenge the status quo. Thus, civil discourse is a key characteristic of our community. Describe a time when you engaged others in meaningful dialogue around an issue that was important to you. Did this exchange create change, new perspectives, or deeper relationships?",500w,optional,
131,George Washington University,george-washington-university-s-location-in-washington,"George Washington University's location in Washington, DC places",Why Us,Community,Personal Statement,Service,,,,,,40,"George Washington University's location in Washington, DC places students at the intersection of medicine, science, policy, innovation, and public service. Imagine yourself 10 years after graduating from the B.A./B.S.-M.D. program. What impact do you hope to have on your patients, your profession, or society? Describe how specific opportunities at GW and in the DC metropolitan area would help you develop the experiences, relationships, and perspectives needed to achieve that vision.",The source states no word or character limit.,conditional,Seven-Year B.A./B.S.-M.D. Program
132,George Washington University,with-small-classes-and-a-dedicated-faculty-the,"With small classes and a dedicated faculty, the University Honors",Why Us,Why Major,Personal Statement,Intellectual Curiosity,,,,,,40,"With small classes and a dedicated faculty, the University Honors Program (UHP) embraces the ideals of a liberal arts education. Within the UHP, students take classes in many different academic fields (philosophy, science, history, art, social science, etc.) and hone their critical thinking skills. Explain why, as a member of the UHP, you would value the opportunity to engage with topics outside your major field(s) of study. Include an example of a time when you successfully tackled an intellectual challenge outside of your personal comfort zone.",500w,conditional,University Honors Program
133,George Washington University,the-uhp-represents-a-community-of-scholars-at-gw,The UHP represents a community of scholars at GW,Why Us,Activities & Impact,Community,Personal Statement,,,,,,40,"The UHP represents a community of scholars at GW. First-year UHP students live and take classes together on the Mount Vernon Campus. Upper-level UHP students remain connected to our community for the remainder of their time at GW through courses, faculty mentoring, advising, research, an optional Foggy Bottom housing opportunity, and our many co-curricular/social activities. Describe a time when you have personally benefited from being a member of a tight-knit community. How do you see yourself contributing to the UHP community inside and/or outside the classroom while at GW?",500w,conditional,University Honors Program
134,George Washington University,at-the-cisneros-hispanic-leadership-institute-community,"At the Cisneros Hispanic Leadership Institute, community is central to",Community,Personal Statement,Contribution,Leadership,,,,,,40,"At the Cisneros Hispanic Leadership Institute, community is central to our approach to leadership. Therefore, Cisneros Scholars are selected as a cohort that navigates their four years at GW together. How would you contribute to a sense of comunidad in your cohort if you were selected as a Cisneros Scholar?",500w,conditional,Cisneros Scholars Program
135,Georgia Institute of Technology,submit-an-essay-focused-on-your-understanding-of-the,"Submit an essay focused on your understanding of the major, your career",Why Major,Goals & Future,,,,,,,,50,"Submit an essay focused on your understanding of the major, your career goals, and your previous experiences with both performance and music technology.",The source states no word or character limit.,conditional,B.S. in Music Technology
136,Grinnell College,grinnell-s-core-values-include-supporting-a-diverse,Grinnell’s core values include supporting a diverse community that is,Community,Background & Identity,Values,Service,,,,,,40,"Grinnell’s core values include supporting a diverse community that is respectful, egalitarian, and committed to the common good. How might your background, respect for the lived experiences of others, and/or eagerness to be exposed to new perspectives equip you to thrive at Grinnell and serve the common good?",450w,optional,
137,Hamilton College,we-each-bring-different-backgrounds-and-perspectives,"We each bring different backgrounds and perspectives, and we teach one",,Course,,,,,,,,0,"We each bring different backgrounds and perspectives, and we teach one another about the world through our individual and shared experiences. How will Hamilton shape your perspective, and how will your perspective shape Hamilton?",250w,optional,
138,University of Illinois Urbana-Champaign,submit-a-writing-sample-preferably-on-the-topic-of,"Submit a writing sample, preferably on the topic of music that best",,,,,,,,,,0,"Submit a writing sample, preferably on the topic of music that best represents your writing ability. This writing sample should be no less than 3 pages in length (3-5 pages is typical).",Limit: 5 pages.,conditional,BMUS Musicology or BA Music — Musicology
139,University of Illinois Urbana-Champaign,applicants-must-submit-a-personal-statement-that-tells,Applicants must submit a personal statement that tells our faculty,Why Major,Background & Identity,Personal Statement,Goals & Future,,,,,,40,"Applicants must submit a personal statement that tells our faculty about your musical and academic background, how you became interested in musicology, what you hope to learn, and your career goals. The personal statement should be 1-2 pages in length.",Limit: 2 pages.,conditional,BMUS Musicology
140,University of Illinois Urbana-Champaign,submit-a-personal-statement-that-tells-our-faculty,Submit a personal statement that tells our faculty about your musical,Why Major,Background & Identity,Personal Statement,Goals & Future,,,,,,40,"Submit a personal statement that tells our faculty about your musical and academic background, how you became interested in musicology and what you hope to learn, and your career goals. The personal statement should be 1-2 pages in length.",Limit: 2 pages.,conditional,BA Music — Musicology
141,University of Illinois Urbana-Champaign,personal-statement-applicants-must-submit-an-essay-or,Personal Statement: Applicants must submit an essay or personal,Why Major,Personal Statement,Goals & Future,,,,,,,40,"Personal Statement: Applicants must submit an essay or personal statement (approximately 300-500 words) that includes a summary of academic achievements in music, music technology, and/or related areas, a description of interests and experiences relevant to the degree program, significant accomplishments, and career goals.",500w,conditional,BA Music Technology
142,University of Illinois Urbana-Champaign,personal-statement-applicants-must-submit-an-essay-or-10,Personal Statement: Applicants must submit an essay or personal,Why Major,Personal Statement,Goals & Future,,,,,,,40,"Personal Statement: Applicants must submit an essay or personal statement (approximately 300-500 words) that includes a summary of academic achievements in music, computer science, and/or related areas, a description of interests and experiences relevant to the degree program, significant accomplishments, and career goals.",500w,conditional,BS Computer Science + Music
143,University of Illinois Urbana-Champaign,a-writing-sample-from-a-recent-class-or-project-that,A writing sample from a recent class or project that reflects your,,Course,Goals & Future,,,,,,,0,A writing sample from a recent class or project that reflects your interests. This sample should address your goals and career aspirations as it relates to the Music+ option.,The source states no word or character limit.,optional,
144,University of Illinois Urbana-Champaign,upload-a-statement-of-purpose-that-details-the-area-s,Upload a statement of purpose that details the area(s) of interest that,,Values,,,,,,,,0,Upload a statement of purpose that details the area(s) of interest that you wish to pursue in your studies.,The source states no word or character limit.,conditional,BMUS Open Studies
145,University of Illinois Urbana-Champaign,statement-of-purpose-500-1-000-words-describing-your,"Statement of Purpose (500–1,000 words) describing your interest in",,Values,Creativity,,,,,,,0,"Statement of Purpose (500–1,000 words) describing your interest in immersive and interactive theatre, your creative goals, and why you are pursuing this degree.",1000w,optional,
146,Indiana University Bloomington,in-200-400-words-describe-your-academic-and-career,"In 200–400 words, describe your academic and career plans and any",Why Major,Challenge & Growth,Personal Statement,Intellectual Curiosity,,,,,,40,"In 200–400 words, describe your academic and career plans and any special interest (for example, undergraduate research, academic interests, leadership opportunities, etc.) that you are eager to pursue as an undergraduate at Indiana University. Also, if you encountered any unusual circumstances, challenges, or obstacles in pursuit of your education, you may share those experiences and how you overcame them.",400w,required,
147,Lehigh University,how-did-you-first-learn-about-lehigh-university-and,How did you first learn about Lehigh University and what motivated you,,,,,,,,,,0,How did you first learn about Lehigh University and what motivated you to apply?,200w,required,
148,Lehigh University,at-lehigh-we-believe-in-pausing-to-celebrate-the-good,"At Lehigh, we believe in pausing to celebrate the good—meaningful",,Values,,,,,,,,0,"At Lehigh, we believe in pausing to celebrate the good—meaningful moments that bring joy, pride or motivation. What's something great happening in your life right now? It could be an accomplishment, a personal win (big or small) or something you're genuinely excited about. If it matters to you, we'd love to hear about it.",200w,required,
149,"University of Maryland, College Park",if-i-could-travel-anywhere-i-would-go-to,"If I could travel anywhere, I would go to…",,,,,,,,,,0,"If I could travel anywhere, I would go to…",650c,required,
150,"University of Maryland, College Park",the-most-interesting-fact-i-ever-learned-from-research,The most interesting fact I ever learned from research was…,,Intellectual Curiosity,,,,,,,,0,The most interesting fact I ever learned from research was…,650c,required,
151,"University of Maryland, College Park",in-addition-to-my-major-my-academic-interests-include,"In addition to my major, my academic interests include…",Why Major,,,,,,,,,50,"In addition to my major, my academic interests include…",650c,required,
152,"University of Maryland, College Park",my-favorite-thing-about-last-tuesday-was,My favorite thing about last Tuesday was…,Short Answer,,,,,,,,,50,My favorite thing about last Tuesday was…,650c,required,
153,"University of Maryland, College Park",something-you-might-not-know-about-me-is,Something you might not know about me is…,,,,,,,,,,0,Something you might not know about me is…,650c,required,
154,"University of Maryland, College Park",because-we-know-that-diversity-benefits-the-educational,Because we know that diversity benefits the educational experience of,Background & Identity,Personal Statement,Values,,,,,,,40,"Because we know that diversity benefits the educational experience of all students, the University of Maryland values diversity in all of its many forms. This includes (but is not limited to) racial, socio-economic, gender, geographical, and sexual orientation. We are interested in hearing about your own individual life experiences. In a few sentences, will you please describe how you have learned, grown, been inspired or developed skills through one or more components of diversity.",650c,required,
155,Michigan State University,for-roughly-70-years-the-honors-college-has-valued,"For roughly 70 years, the Honors College has valued academic",,,,,,,,,,0,"For roughly 70 years, the Honors College has valued academic flexibility and innovative approaches to learning. Please tell us about an experience that shows how you have approached your high school career in a unique way.",The source states no word or character limit.,conditional,MSU Honors College
156,North Carolina State University,explain-why-you-selected-the-second-choice-academic,Explain why you selected the second choice academic program above and,Why Major,,,,,,,,,50,Explain why you selected the second choice academic program above and why you are interested in studying this at NC State.,250w,conditional,Second-choice academic program
157,North Carolina State University,honors-curiosity-to-action-4,University Honors: curiosity in action,Activities & Impact,Personal Statement,Intellectual Curiosity,Leadership,,,,,,33,"Think about a time when your curiosity led you to not just learn, but to act. How did you learn more, and what tangible steps did you take as a result of what you learned? What insights about yourself, others, or the world did you take away from this process of learning and doing?",600w,conditional,Park Scholarships Program
158,North Carolina State University,park-scholars-make-a-positive-difference-for-others,Park Scholars make a positive difference for others,Community,Values,Contribution,Service,,,,,,50,Park Scholars make a positive difference for others. What meaningful civic contributions have you made? Why did you engage in this service? What was the impact of your actions?,600w,conditional,Park Scholarships Program
159,North Carolina State University,discuss-one-project-in-your-portfolio-that-best,Discuss one project in your portfolio that best reflects your current,,Contribution,Creativity,,,,,,,0,Discuss one project in your portfolio that best reflects your current understanding of design. Consider how the materials/media contribute to the meaning and function of the piece.,The source states no word or character limit.,conditional,Architecture (B.Arch); wording for other studio-based majors unconfirmed
160,Northeastern University,in-your-portfolio-personal-statement-please-describe,"In your portfolio personal statement, please describe what qualities",,Contribution,Creativity,,,,,,,0,"In your portfolio personal statement, please describe what qualities you feel you will bring to the department and your college-level educational experience and why.",500w,conditional,Art + Design / Media Arts
161,Northeastern University,in-your-journalism-portfolio-please-discuss-the,"In your Journalism portfolio, please discuss the possibilities you see",,Creativity,,,,,,,,0,"In your Journalism portfolio, please discuss the possibilities you see in these fields and how you would pursue them.",500w,conditional,Journalism
162,Northeastern University,a-separate-one-page-statement-describing-your-musical,A separate one-page statement describing your musical background,Background & Identity,,,,,,,,,50,"A separate one-page statement describing your musical background, influences, and goals as well as why you think the Music Technology program is right for you.",The source states no word or character limit.,conditional,Music Technology
163,New York University,in-under-250-words-please-share-how-you-have,"In under 250 words, please share how you have demonstrated your",Community,Personal Statement,Intellectual Curiosity,Service,,,,,,57,"In under 250 words, please share how you have demonstrated your commitment to the legacy of Dr. King's ideals of 'Beloved Community' as evidenced through academic achievement, research or service.",250w,conditional,"Martin Luther King, Jr. Scholars Program"
164,New York University,a-one-page-statement-of-purpose-describing-your-reasons,A one-page Statement of Purpose describing: your reasons for applying,Background & Identity,Values,Academic Context,,,,,,,50,"A one-page Statement of Purpose describing: your reasons for applying to an interdisciplinary studio art program; your personal and/or academic background in art; and the influences, experiences, common themes, and interests that have impacted your art practice.",The source states no word or character limit.,conditional,BFA Studio Art / Art and Art Professions
165,Ohio State University,if-you-could-devote-the-next-ten-years-to-addressing,If you could devote the next ten years to addressing one challenge,Community,Personal Statement,,,,,,,,40,"If you could devote the next ten years to addressing one challenge facing your community, nation, or the world, what would it be and why?",500w,conditional,Stamps Eminence Scholarship Program (University Honors Program)
166,Ohio State University,in-what-ways-have-your-life-experiences-and-or,In what ways have your life experiences and/or endeavors prepared you,Community,Background & Identity,Values,Service,,,,,,33,"In what ways have your life experiences and/or endeavors prepared you to be an active Morrill Scholar who will champion OSU's Shared Values of 'diversity and innovation' and 'inclusion and equity' while investing in our culture of service reflective of our land grant mission? Please answer fully, and when possible, provide specific examples.",500w,conditional,Morrill Scholarship Program
167,Pennsylvania State University,this-is-your-opportunity-to-share-something-about,This is your opportunity to share something about yourself that is not,Activities & Impact,Personal Statement,,,,,,,,33,"This is your opportunity to share something about yourself that is not already reflected in your application or academic records. Please tell us something about yourself, your experiences, or activities that you believe would reflect positively on your ability to succeed at Penn State.",500w,optional,
168,Pennsylvania State University,identify-an-important-global-or-local-issue-that-you,Identify an important global or local issue that you believe does not,,Values,,,,,,,,0,"Identify an important global or local issue that you believe does not receive sufficient attention. Why is this issue often overlooked or under-addressed? Analyze possible paths forward and propose a realistic strategy to raise awareness and advance solutions. Finally, evaluate your proposal's potential to create meaningful change, considering its feasibility, limitations, trade-offs, implementation challenges, and possible unintended consequences.",800w,conditional,Schreyer Honors College
169,Pennsylvania State University,one-of-the-schreyer-honors-college-values-is-empowered,One of the Schreyer Honors College values is Empowered Growth,,Values,,,,,,,,0,"One of the Schreyer Honors College values is Empowered Growth. What values, beliefs or experiences have empowered you to grow intellectually and/or personally?",200w,conditional,Schreyer Honors College
170,Pennsylvania State University,if-you-were-able-to-go-anywhere-in-the-world-outside-of,"If you were able to go anywhere in the world, outside of the country",,,,,,,,,,0,"If you were able to go anywhere in the world, outside of the country you currently reside in, where would you go and why?",200w,conditional,Schreyer Honors College
171,Pennsylvania State University,list-your-extracurricular-activities-over-the-last-four,List your extracurricular activities over the last four years,Activities & Impact,Personal Statement,Leadership,,,,,,,50,List your extracurricular activities over the last four years. This can include school and non-school activities. Please include any leadership roles you have had.,200w,conditional,Schreyer Honors College
172,Pennsylvania State University,tell-us-about-your-most-significant-leadership,Tell us about your most significant leadership experience and why,Why Us,Activities & Impact,Community,Background & Identity,,,,,,40,"Tell us about your most significant leadership experience and why leadership is important to you. This could include community roles, family contributions, research, clubs and organizations, etc. Describe challenges you've faced and successes you've had in these roles.",200w,conditional,Schreyer Honors College
