"ID","School","Prompt title","Review primary","Review secondaries","Prompt function","Stored primary slug","Stored secondary families","Stored secondary tags","Current display name","Word limit","External ref"
"199","Texas A&M University","Why your chosen major","Why Major","","explain motivation","why-major","","","Why Major","100w","major-choice"
"200","Texas A&M University","Why Texas A&M","Why Us","","connect to school","why-us","","","Why Us","100w","why-tamu"
"201","Texas A&M University","Plans beyond a bachelor's degree","Other","Goals & Future","state a future goal","other","","goals & future","Other","100w","education-plans"
"202","Texas A&M University","Additional context","Challenge & Growth","","describe","challenge-growth","","","Challenge & Growth","250w","additional-context"
"203","University of Texas at Austin","First-choice major","Why Major","","explain motivation","why-major","","","Why Major","300w","short-answer-first-choice-major"
"204","University of Texas at Austin","Proudest activity","Other","Activities & Impact","reflect","other","","activities & impact","Other","300w","short-answer-proudest-activity"
"205","University of Texas at Austin","Academic circumstances","Challenge & Growth","Academic Context","describe","challenge-growth","","academic context","Challenge & Growth","300w","short-answer-academic-circumstances"
"206","University of Texas at Austin","School of Architecture","Why Major","Values; Goals & Future","reflect","why-major","","values & meaning; goals & future","Why Major","300w","short-answer-architecture"
"207","University of Texas at Austin","School of Nursing","Why Major","Activities & Impact; Goals & Future","explain motivation","why-major","","activities & impact; goals & future","Why Major","no limit","short-answer-nursing"
"208","Trinity College","Background and the Trinity community","Background & Identity","Contribution","discuss future contribution","diversity","","contribution","Identity & Background","299w","background-at-trinity"
"209","Tufts University","Learning about and engaging with Tufts","Why Us","","connect to school","why-us","","","Why Us","150w","college-search-engagement"
"210","Tufts University","A favorite school assignment","Other","Intellectual Curiosity","describe","other","","intellectual curiosity","Other","200w","arts-sciences-assignment"
"211","Tufts University","An engineering or science project","Other","Activities & Impact; Creativity","describe","other","","activities & impact; creativity","Other","200w","engineering-project"
"212","Tufts University","A specific portfolio piece","Other","Creativity","describe","other","","creativity","Other","200w","bfa-portfolio-piece"
"213","Tufts University","Portfolio and academic inspiration","Why Major","Creativity; Intellectual Curiosity","describe","why-major","","creativity; intellectual curiosity","Why Major","200w","combined-degree-portfolio"
"214","University of Massachusetts Amherst","Why this major?","Why Major","","explain motivation","why-major","","","Why Major","100w","custom-why-major"
"215","University of Massachusetts Amherst","Why UMass Amherst?","Why Us","","connect to school","why-us","","","Why Us","100w","custom-why-umass"
"216","University of Massachusetts Amherst","Community and contribution","Community","Contribution","discuss future contribution","community","","contribution","Community","100w","custom-community"
"217","University of Michigan","Leaders and citizens","Other","Contribution; Leadership; Goals & Future","discuss future contribution","other","","contribution; leadership; goals & future","Other","300w","leaders-and-citizens"
"218","University of Michigan","Specific undergraduate school or college","Why Us","Why Major","connect to school","why-us","why-major","","Why Us","550w","specific-school-fit"
"219","University of Pennsylvania","Thank-you note","Other","Values","describe","other","","values & meaning","Other","200w","all-thank-you-note"
"220","University of Pennsylvania","Explore community at Penn","Why Us","Background & Identity; Contribution","connect to school","why-us","diversity","contribution","Why Us","200w","all-community"
"221","University of Pennsylvania","School-specific: Nursing","Why Major","Why Us; Contribution; Goals & Future","connect to school","why-major","why-us","contribution; goals & future","Why Major","200w","school-nursing"
"222","University of Pennsylvania","School-specific: College of Arts and Sciences","Why Major","Why Us; Intellectual Curiosity","connect to school","why-major","why-us","intellectual curiosity","Why Major","200w","school-arts-sciences"
"223","University of Pennsylvania","School-specific: Wharton","Why Major","Why Us; Intellectual Curiosity","connect to school","why-major","why-us","intellectual curiosity","Why Major","200w","school-wharton"
"224","University of Pennsylvania","School-specific: Engineering","Why Major","Why Us","connect to school","why-major","why-us","","Why Major","200w","school-engineering"
"225","University of Pennsylvania","Huntsman: Target-language experience","Why Major","Background & Identity; Intellectual Curiosity","describe","why-major","diversity","intellectual curiosity","Why Major","200w","huntsman-language-experience"
"226","University of Pennsylvania","Huntsman: International studies and business","Why Major","Why Us; Contribution","explain motivation","why-major","why-us","contribution","Why Major","400w","huntsman-global-issue"
"227","University of Pennsylvania","LSM: Life sciences and management","Why Major","Why Us; Intellectual Curiosity","connect to school","why-major","why-us","intellectual curiosity","Why Major","400w","lsm-integration"
"228","University of Pennsylvania","M&T: Engineering and business perspectives","Why Us","Why Major; Goals & Future","connect to school","why-us","why-major","goals & future","Why Us","400w","mt-engineering-business"
"229","University of Pennsylvania","M&T: Something you built","Other","Activities & Impact; Creativity","describe","other","","activities & impact; creativity","Other","200w","mt-created-built"
"230","University of Pennsylvania","NHCM: Nursing and Healthcare Management","Why Major","Why Us; Goals & Future","connect to school","why-major","why-us","goals & future","Why Major","400w","nhcm-interest"
"231","University of Pennsylvania","VIPER: Major combination","Why Major","Why Us","explain motivation","why-major","why-us","","Why Major","200w","viper-major-combination"
"232","University of Pennsylvania","VIPER: Energy science and technology","Why Major","Why Us; Goals & Future","connect to school","why-major","why-us","goals & future","Why Major","400w","viper-energy-interest"
"233","University of Pennsylvania","VIC: Visual and Interactive Computing","Why Major","Why Us","connect to school","why-major","why-us","","Why Major","650w","vic-alignment"
"234","Vanderbilt University","Dare to grow","Background & Identity","Challenge & Growth; Contribution","demonstrate growth","diversity","challenge-growth","contribution","Identity & Background","250w","short-answer-dare-to-grow"
"235","Villanova University","Advancing equity and justice","Other","Contribution; Service","explain impact","other","","contribution; service","Other","no limit","supplement-equity-justice"
"236","Villanova University","A lesson in life","Other","Values","reflect","other","","values & meaning","Other","no limit","supplement-life-lesson"
"237","Villanova University","Villanova as your new home","Why Us","","connect to school","why-us","","","Why Us","no limit","supplement-new-home"
"238","Villanova University","Technology and the common good","Other","Values; Contribution","discuss future contribution","other","","values & meaning; contribution","Other","no limit","supplement-ai-common-good"
"239","Villanova University","Someone borrowing your strength","Other","Contribution; Values","explain impact","other","","contribution; values & meaning","Other","no limit","supplement-borrowed-strength"
"240","Wake Forest University","Why Wake?","Why Us","","connect to school","why-us","","","Why Us","100w","required-why-wake"
"241","Wake Forest University","Five intriguing books","Reading List","","describe","reading-list","","","Reading List","no limit","optional-written-books"
"242","Wake Forest University","Intellectual curiosity","Why Major","Intellectual Curiosity","describe","why-major","","intellectual curiosity","Why Major","150w","optional-written-curiosity"
"243","Wake Forest University","A Maya Angelou quote","Other","Values; Contribution","reflect","other","","values & meaning; contribution","Other","300w","optional-written-maya-angelou"
"244","Wake Forest University","Top Ten List","Short Answer","","describe","shorts","","","Short Answer","no limit","optional-written-top-ten"
"245","Washington and Lee University","Why W&L?","Why Us","","connect to school","why-us","","","Why Us","250w","optional-why-wlu"
"246","Washington and Lee University","Life outside school","Other","Activities & Impact; Contribution","demonstrate growth","other","","activities & impact; contribution","Other","250w","optional-short-answer-life-outside-school"
"247","Washington and Lee University","A diverse aspect you would bring","Background & Identity","Contribution","discuss future contribution","diversity","","contribution","Identity & Background","250w","optional-short-answer-diversity"
"248","Washington and Lee University","Your curious mind","Why Major","Intellectual Curiosity","describe","why-major","","intellectual curiosity","Why Major","250w","optional-short-answer-curiosity"
"249","Washington and Lee University","The story of your name","Background & Identity","","describe","diversity","","","Identity & Background","250w","optional-short-answer-name"
"250","Washington and Lee University","Johnson Scholarship: a work of art","Other","Intellectual Curiosity; Values","demonstrate growth","other","","intellectual curiosity; values & meaning","Other","800w","johnson-art"
"251","Washington and Lee University","Johnson Scholarship: an unexpected path","Challenge & Growth","","demonstrate growth","challenge-growth","","","Challenge & Growth","800w","johnson-unexpected-path"
"252","Washington and Lee University","Johnson Scholarship: authentic representation","Other","Background & Identity; Challenge & Growth","demonstrate growth","other","diversity; challenge-growth","","Other","800w","johnson-authentic-representation"
"253","Washington and Lee University","Johnson Scholarship: design a Spring Term course","Other","Course; Intellectual Curiosity","discuss future contribution","other","","course; intellectual curiosity","Other","800w","johnson-spring-term"
"254","Washington and Lee University","Johnson Scholarship: education and social frameworks","Community","Values; Contribution","reflect","community","","values & meaning; contribution","Community","800w","johnson-education-social-framework"
"255","Wellesley College","Building bridges across perspectives","Background & Identity","Disagreement; Contribution","demonstrate growth","diversity","","disagreement; contribution","Identity & Background","no limit","required-bridges-perspectives"
